sentence_text,gold_merged_tokens
"bir övüncü sakalıysa bir başka övüncü de sıhhati , fizik gücüydü .","bir övüncü sakalıysa bir başka övüncü de sıhhati , fizik_gücüydü ."
"ateşin üzerinde tüm malzemeler hep bir ağızdan fokurduyordu ama her biri kendi dilinde .","ateşin üzerinde tüm malzemeler hep bir_ağızdan fokurduyordu ama her biri kendi dilinde ."
"muşamba hâline gelmiş katı frenk gömleğimle o cendere gibi pantolonu bir dakika daha taşımaya tahammülüm kalmamıştı .","muşamba hâline gelmiş katı frenk_gömleğimle o cendere gibi pantolonu bir dakika daha taşımaya tahammülüm kalmamıştı ."
"hemşire tutmak fuzuli masraf , bizler ne güne duruyoruz ?","hemşire tutmak fuzuli masraf , bizler ne_güne_duruyoruz ?"
"emir süleyman ancak o zaman gaflet uykusundan uyanabilmişti .","emir süleyman ancak o zaman gaflet_uykusundan uyanabilmişti ."
"o mecmuadaki gazelleri yüksek sesle okurken eski şiir lehçemizdeki beliğ ve rindane edaların zevkine varıyorum .","o mecmuadaki gazelleri yüksek_sesle okurken eski şiir lehçemizdeki beliğ ve rindane edaların zevkine varıyorum ."
"radyum gazışıl bir elementtir .","radyum gazışıl bir elementtir ."
"cezvedeki süt çoktan taşmış , gaz ocağının her tarafına köpük köpük yayılırken ateşi de söndürmüştü .","cezvedeki süt çoktan taşmış , gaz_ocağının her tarafına köpük köpük yayılırken ateşi de söndürmüştü ."
"o rahmetli katırın yerine ben öbür dünyayı boylardım .","o rahmetli katırın yerine ben öbür_dünyayı boylardım ."
"viyana'da en büyük caddelerde gece uçuşuna çıkan manga manga , bölük bölük kadınlara rastladık .","viyana'da en büyük caddelerde gece_uçuşuna çıkan manga manga , bölük bölük kadınlara rastladık ."
"sağ olsun , akşamları evine biraz geççe gelir .","sağ_olsun , akşamları evine biraz geççe gelir ."
"bütün günüm seni takip etmekle geçti .","bütün günüm seni takip_etmekle geçti ."
"el yordamıyla ilerlemeyi sürdürürken , sanki karanlıkta bir gedik açılıyor , bir yerlerden içeriye ışık vuruyor .","el_yordamıyla ilerlemeyi sürdürürken , sanki karanlıkta bir gedik açılıyor , bir yerlerden içeriye ışık vuruyor ."
"eski çağlardan birçok anıt çağımıza kadar gelmiştir .","eski_çağlardan birçok anıt çağımıza kadar gelmiştir ."
"kadın dizginleri çekmek istedi fakat hırçın hayvan sert bir boyun hareketi ile gemini kurtardı .","kadın dizginleri çekmek istedi fakat hırçın hayvan sert bir_boyun hareketi ile gemini kurtardı ."
"filikada hamlada oturan gemici , bir eliyle rıhtımın kenarına tutunmuş .","filikada hamlada oturan gemici , bir_eliyle rıhtımın kenarına tutunmuş ."
"bunlardan ne elde edeceğim , deyip hemen umum müdürün karşısına bir çıkışım var .","bunlardan ne elde edeceğim , deyip hemen umum_müdürün karşısına bir çıkışım var ."
"kişiliklerinin tüm girdisi çıktısı , inişi çıkışı , özü özeti orada toplanır .","kişiliklerinin tüm girdisi_çıktısı , inişi çıkışı , özü özeti orada toplanır ."
"dil bilimine giriş .","dil_bilimine giriş ."
"mektubu senden gizli posta kutusuna attım .","mektubu senden gizli posta_kutusuna attım ."
"paris'te uzun yıllar yaşamalarına karşın ülkeleriyle olan göbek bağını hiç mi hiç gevşetmemiş gençler var .","paris'te uzun yıllar yaşamalarına karşın ülkeleriyle olan göbek_bağını hiç mi hiç gevşetmemiş gençler var ."
"orta boylu , geniş göğüslü ve hafif göbekliydi .","orta_boylu , geniş göğüslü ve hafif göbekliydi ."
"obalarının hâlâ arkası kesilmeyen göçleri devam etmekteydi .","obalarının hâlâ arkası kesilmeyen göçleri devam_etmekteydi ."
"gömme banyonun içinden bakınca lavabonun üstündeki aynada , başını , omuzlarını görebiliyordu .","gömme_banyonun içinden bakınca lavabonun üstündeki aynada , başını , omuzlarını görebiliyordu ."
"çok muhteşem bir cenaze töreniyle gömüldü .","çok muhteşem bir cenaze_töreniyle gömüldü ."
"onun romanları düş gücüne değil , gözlem gücüne dayanır .","onun romanları düş_gücüne değil , gözlem gücüne dayanır ."
"bence sen bu gözlemcilik işini bırakıp bir tavuk çiftliği kurmalısın .","bence sen bu gözlemcilik işini bırakıp bir tavuk çiftliği kurmalısın ."
"bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .","bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta ."
"başka çare kalmadığını anladı ve kendisini üç ankaralı kadının bu sıkı göz yoklamasına bıraktı .","başka çare kalmadığını anladı ve kendisini üç ankaralı kadının bu sıkı göz_yoklamasına bıraktı ."
"kendi kendimi gurbet eline sürmekten maksadım nedir ?","kendi kendimi gurbet_eline sürmekten maksadım nedir ?"
"her misafire gösterdiği bir güler yüzle içeriye girdi .","her misafire gösterdiği bir güler_yüzle içeriye girdi ."
"hep ona doğru bakar , göz göze geldiklerinde gülümserdi .","hep ona doğru bakar , göz_göze geldiklerinde gülümserdi ."
"bakanlar kurulunun programı türkiye büyük millet meclisinde okunur ve güvenoyuna başvurulur .","bakanlar kurulunun programı türkiye büyük millet_meclisinde okunur ve güvenoyuna başvurulur ."
"bakanlar kurulunun programı türkiye büyük millet meclisinde okunur ve güvenoyuna başvurulur .","bakanlar_kurulunun programı türkiye büyük millet meclisinde okunur ve güvenoyuna başvurulur ."
"ateşoğlu , bir yandan da gözlerini deniz yüzüne gelen ve yüzde suyu fokurdatan hava habbelerinden ayırmıyordu .","ateşoğlu , bir_yandan da gözlerini deniz yüzüne gelen ve yüzde suyu fokurdatan hava habbelerinden ayırmıyordu ."
"herkes sofraya oturmuş , bir yandan çorbalarını kaşıklayıp bir yandan da haberleri seyrediyordu .","herkes sofraya oturmuş , bir_yandan çorbalarını kaşıklayıp bir_yandan da haberleri seyrediyordu ."
"gece , hafakanlar içinde , vaziyeti unutup da elektrik düğmesini çevirdiğim zaman , korkunç bir ' tık ' sedası duydum .","gece , hafakanlar içinde , vaziyeti unutup da elektrik_düğmesini çevirdiğim zaman , korkunç bir ' tık ' sedası duydum ."
"müslüman araplar arasında bir arap halifeliği hükûmeti peşinde olanlar vardı .","müslüman araplar arasında bir arap halifeliği hükûmeti peşinde olanlar vardı ."
"düştüğümüz bu selin önünden kurtulup karaya çıkmak bir ham hayaldir .","düştüğümüz bu selin önünden kurtulup karaya çıkmak bir ham_hayaldir ."
"filikada hamlada oturan gemici , bir eliyle rıhtımın kenarına tutunmuş .","filikada hamlada oturan gemici , bir_eliyle rıhtımın kenarına tutunmuş ."
"hangi birini sayayım ?","hangi_birini sayayım ?"
"bir delilik yaptı ve otobüsteki kız uğruna arzu'yu harcadı .","bir delilik yaptı ve otobüsteki kız uğruna arzu'yu harcadı ."
"bir har hurdur gidiyor .","bir har_hurdur gidiyor ."
"köyün harman yerinde anlatımı kaleme gelmez bir çalışma var .","köyün harman_yerinde anlatımı kaleme gelmez bir çalışma var ."
"kumral bıyıkları ve ölçülü yüz hatlarıyla her zamanki kadar yakışıklıydı .","kumral bıyıkları ve ölçülü yüz hatlarıyla her_zamanki kadar yakışıklıydı ."
"aslında , bu hayat pahalılığında , ona hak ettiği parayı veremediğimizi biliyoruz .","aslında , bu hayat_pahalılığında , ona hak ettiği parayı veremediğimizi biliyoruz ."
"onun , alçak gönüllülük ve hayırhahlık taşan yüzünü görünce hayatın bir çıkar yarışması olmadığına iman getirirdiniz .","onun , alçak_gönüllülük ve hayırhahlık taşan yüzünü görünce hayatın bir çıkar yarışması olmadığına iman getirirdiniz ."
"hayvani protein alamayan yerlerde , bu yol ile fakir fukaraya et yedirebilmek imkânı hazırlanmıştır .","hayvani protein alamayan yerlerde , bu yol ile fakir_fukaraya et yedirebilmek imkânı hazırlanmıştır ."
"ömrünün en öfkeli veya buhranlı anlarında bile yaşamak hazzının parıltısı gözlerinden eksik olmazdı .","ömrünün en öfkeli veya buhranlı anlarında bile yaşamak hazzının parıltısı gözlerinden eksik_olmazdı ."
"hoca , sabahleyin bir bahçıvanın ikram ettiği turp salatasını henüz sindirememişti .","hoca , sabahleyin bir bahçıvanın ikram ettiği turp_salatasını henüz sindirememişti ."
"kanatlı hercai menekşeler gibi kelebekler ekinlerin sükûnunda uçuşurken bu kitapçıktan birkaç sayfa okunsun .","kanatlı hercai_menekşeler gibi kelebekler ekinlerin sükûnunda uçuşurken bu kitapçıktan birkaç sayfa okunsun ."
"herhangi biri gelsin .","herhangi_biri gelsin ."
"hoyratlık ve şiddet ortalıkta kol gezmektedir .","hoyratlık ve şiddet ortalıkta kol_gezmektedir ."
"artık şimdi öyle düşkün bir babayım ki / yüreğim hun , sayhalarım boğuk boğuktur""artık şimdi öyle düşkün bir babayım ki / yüreğim hun , sayhalarım boğuk_boğuktur"
"en saçma görünen batıl inançlar dahi insanın bir duygusunu , bir davranışını düzenleme gayesini güder .","en saçma görünen batıl_inançlar dahi insanın bir duygusunu , bir davranışını düzenleme gayesini güder ."
"hücrenin kapısında delikten bana bakan ere bir pusula uzatıp kumandana götürmesini istiyorum .","hücrenin kapısında delikten bana_bakan ere bir pusula uzatıp kumandana götürmesini istiyorum ."
"vatan için , hürriyet için birbirine verdikleri şeref sözünü tutacaklar , gerekirse bu uğurda silahlarını da kullanacaklar .","vatan için , hürriyet için birbirine verdikleri şeref_sözünü tutacaklar , gerekirse bu uğurda silahlarını da kullanacaklar ."
"fakat bir kadınla çene çalmakta olan ırgatbaşı hiç oralı olmuyordu .","fakat bir kadınla çene_çalmakta olan ırgatbaşı hiç oralı olmuyordu ."
"i̇ç kapının perdesi yanlara doğru açıldı .","i̇ç kapının perdesi yanlara doğru açıldı ."
"sığır tenyası bir iç asalaktır .","sığır tenyası bir iç_asalaktır ."
"belli bir seviye çizgisinde düşünmeye alışık beyinler , ikide bir düz ayak , yavan konuklarla durmadan işgal edilirse iç dengeleri bozulur .","belli bir seviye çizgisinde düşünmeye alışık beyinler , ikide bir düz ayak , yavan konuklarla durmadan işgal edilirse iç_dengeleri bozulur ."
"i̇spanya iç savaşı .","i̇spanya iç_savaşı ."
"samimiyetsizlik ve gülünçlüğün bu kadarına pes !","samimiyetsizlik ve gülünçlüğün bu_kadarına pes !"
"başkalarını dertleriyle üzmekten , taşkınlıklarıyla rahatsız etmekten kaçınır .","başkalarını dertleriyle üzmekten , taşkınlıklarıyla rahatsız_etmekten kaçınır ."
"yaz tarifesi , kış tarifesi diye bir ikilik de gerek değildir .","yaz tarifesi , kış tarifesi diye bir_ikilik de gerek değildir ."
"kız kardeşim ikindiüzeri bana sıcak , limonlu bir çorba içirdi .","kız_kardeşim ikindiüzeri bana sıcak , limonlu bir çorba içirdi ."
"korkuya , hiç değilse çekintiye benzeyen bir şey de getiriyordu .","korkuya , hiç değilse çekintiye benzeyen bir şey de getiriyordu ."
"korkuya , hiç değilse çekintiye benzeyen bir şey de getiriyordu .","korkuya , hiç_değilse çekintiye benzeyen bir şey de getiriyordu ."
"i̇ktisadi düşünceler hâlâ devlet adamlarımızın resmî beyanlarında yer bulmaktadır .","i̇ktisadi düşünceler hâlâ devlet adamlarımızın resmî beyanlarında yer_bulmaktadır ."
"avrupa görmüş , incelmiş bir delikanlıya kızların nasıl içi gitmesin .","avrupa görmüş , incelmiş bir delikanlıya kızların nasıl içi gitmesin ."
"altın çizgili , yemyeşil ipek kravatı ne olursa olsun almalıydı .","altın çizgili , yemyeşil ipek kravatı ne olursa olsun almalıydı ."
"altın çizgili , yemyeşil ipek kravatı ne olursa olsun almalıydı .","altın çizgili , yemyeşil ipek kravatı ne_olursa_olsun almalıydı ."
"çoktandır , ipsiz sapsızlarla düşe kalka onların dilini kapmışım .","çoktandır , ipsiz_sapsızlarla düşe kalka onların dilini kapmışım ."
"kapıcının karısının ispirto ocağında kızarttığı patlıcanları yiyorduk .","kapıcının karısının ispirto_ocağında kızarttığı patlıcanları yiyorduk ."
"böyle bir değerlendirme , yerel seçimlerin halk istencini daha iyi gösterdiği sonucunu ortaya çıkarır .","böyle bir değerlendirme , yerel seçimlerin halk istencini daha iyi gösterdiği sonucunu ortaya çıkarır ."
"devri nüfuz tüccarlığı yüzünden alabildiğine soysuzlaşmış , sonunda tam bir despotluk rejimi olmuştur .","devri nüfuz tüccarlığı yüzünden alabildiğine soysuzlaşmış , sonunda tam bir despotluk rejimi olmuştur ."
"uzunca bir arabaya lekeli şilteler , kirli yastıklar yığılıyordu , istif tekmil olmuştu .","uzunca bir arabaya lekeli şilteler , kirli yastıklar yığılıyordu , istif tekmil olmuştu ."
"uzunca bir arabaya lekeli şilteler , kirli yastıklar yığılıyordu , istif tekmil olmuştu .","uzunca bir_arabaya lekeli şilteler , kirli yastıklar yığılıyordu , istif tekmil olmuştu ."
"bir ara yıldız'ın istihbarat servisinde bulunduğu bile söylenirdi .","bir ara yıldız'ın istihbarat_servisinde bulunduğu bile söylenirdi ."
"i̇şte bu iki adam bir aralık göz göze geldiler .","i̇şte bu iki adam bir_aralık göz göze geldiler ."
"i̇şte bu iki adam bir aralık göz göze geldiler .","i̇şte bu iki adam bir aralık göz_göze geldiler ."
"bir borcun sönümü için her yıl verilmesi gereken taksit , vade uzunluğuna , ana borca ve faiz fiyatına bağlıdır .","bir borcun sönümü için her yıl verilmesi gereken taksit , vade uzunluğuna , ana borca ve faiz_fiyatına bağlıdır ."
"bazı kadın yazarlarsa her şeyi göze alıp itirafçı , iç dünyalarını açıklayıcı bir yol seçerler .","bazı kadın yazarlarsa her şeyi göze alıp itirafçı , iç_dünyalarını açıklayıcı bir yol seçerler ."
"i̇vedi yanıma yaklaştı , mavi gözleri ışıl ışıldı .","i̇vedi yanıma yaklaştı , mavi gözleri ışıl_ışıldı ."
"koşturduğu , gideceği yere bir an önce varmak için ivedilendiği belli oluyordu .","koşturduğu , gideceği yere bir_an_önce varmak için ivedilendiği belli oluyordu ."
"i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz karasıydılar .","i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz_karasıydılar ."
"kaba sofular bir zamanlar uygarlık düşmanlığını , yabancı dil düşmanlığı ile birleştirmişlerdi .","kaba sofular bir_zamanlar uygarlık düşmanlığını , yabancı dil düşmanlığı ile birleştirmişlerdi ."
"kaba sofular bir zamanlar uygarlık düşmanlığını , yabancı dil düşmanlığı ile birleştirmişlerdi .","kaba_sofular bir zamanlar uygarlık düşmanlığını , yabancı dil düşmanlığı ile birleştirmişlerdi ."
"evime kaçmaklığım lazım gelirken , zekeriya sofrasının esrarengizliğini öğrenmek cazibesine kapıldım .","evime kaçmaklığım lazım gelirken , zekeriya_sofrasının esrarengizliğini öğrenmek cazibesine kapıldım ."
"asıl dostluğumuz bu üç dört saatlik kadeh arkadaşlığından sonra başlamıştı .","asıl dostluğumuz bu üç dört saatlik kadeh_arkadaşlığından sonra başlamıştı ."
"kadın ticaretinin bu kadar serbestçe yapıldığı bir yer daha bulmak mümkün değildi .","kadın_ticaretinin bu kadar serbestçe yapıldığı bir yer daha bulmak mümkün değildi ."
"bir kafa işçisinin , sanatçının , bilim adamının düşünmek için bol bol zamana ihtiyacı vardır .","bir kafa işçisinin , sanatçının , bilim_adamının düşünmek için bol bol zamana ihtiyacı vardır ."
"bir kafa işçisinin , sanatçının , bilim adamının düşünmek için bol bol zamana ihtiyacı vardır .","bir kafa_işçisinin , sanatçının , bilim adamının düşünmek için bol bol zamana ihtiyacı vardır ."
"f. r. atay'a bu mücadeleyi kazanacağımızı kâhinler haber vermediler .","f. r. atay'a bu mücadeleyi kazanacağımızı kâhinler haber_vermediler ."
"frankfurt'a gece yarısından sonra ikiye yirmi kala vardık .","frankfurt'a gece_yarısından sonra ikiye yirmi kala vardık ."
"arka tekerler alıp başını geçti gitti .","arka_tekerler alıp başını geçti gitti ."
"yakın köyden kaldırdığı bir yosmayı sarhoş etmekle meşguldü .","yakın köyden kaldırdığı bir yosmayı sarhoş_etmekle meşguldü ."
"jön türklerle alakası var diye , insanı dünyanın öbür ucuna kalebent ediverirler .","jön türklerle alakası var diye , insanı dünyanın_öbür_ucuna kalebent ediverirler ."
"sermet muhtar , akşam gazetesinin temelli imzalarından biri oldu .","sermet muhtar , akşam_gazetesinin temelli imzalarından biri oldu ."
"kallavi fincanını çalkalayıp çalkalayıp diker , dibinde hiç telve bırakmamacasına !","kallavi_fincanını çalkalayıp çalkalayıp diker , dibinde hiç telve bırakmamacasına !"
"çiftlik ana babasından kalmış .","çiftlik ana_babasından kalmış ."
"refika , valide , iki kerime kaldık mı biz iki bin kuruş tekaüt maaşına .","refika , valide , iki kerime kaldık mı biz iki bin kuruş tekaüt_maaşına ."
"öldürücü bir kalp aksesinin bazen saatlerce sürebileceğini gayet iyi biliyor .","öldürücü bir kalp_aksesinin bazen saatlerce sürebileceğini gayet iyi biliyor ."
"masa başında hizmet ederken erkeklik falan yok , kamarotsun , kamarot erkeklik taslayacak değil , işini bilecek , o kadar .","masa_başında hizmet ederken erkeklik falan yok , kamarotsun , kamarot erkeklik taslayacak değil , işini bilecek , o kadar ."
"bu genç bir deveydi .","bu genç bir deveydi ."
"masasında eski biçim hokkalar , kamış kalemler vardı .","masasında eski biçim hokkalar , kamış_kalemler vardı ."
"beni öyle bir dinlenme kampına alsınlar ki kapıdan girerken kimlik kartımla birlikte kişiliğimi de kapıda bırakayım .","beni öyle bir dinlenme_kampına alsınlar ki kapıdan girerken kimlik kartımla birlikte kişiliğimi de kapıda bırakayım ."
"beni öyle bir dinlenme kampına alsınlar ki kapıdan girerken kimlik kartımla birlikte kişiliğimi de kapıda bırakayım .","beni öyle bir dinlenme kampına alsınlar ki kapıdan girerken kimlik_kartımla birlikte kişiliğimi de kapıda bırakayım ."
"çantasından çok sayfalı , maroken kaplı küçük bir defter çıkardı .","çantasından çok sayfalı , maroken kaplı küçük bir defter çıkardı ."
"kaptıkaçtı tipi arabası arka tekerlekleri duvara takılı durmuştu .","kaptıkaçtı tipi arabası arka_tekerlekleri duvara takılı durmuştu ."
"bu kara ağızlıların yüzde yüz sahteci ve yalancı olduklarını bilir .","bu kara_ağızlıların yüzde yüz sahteci ve yalancı olduklarını bilir ."
"hesabın , bütün bu derslerin hepsinin üstünde olması , ömer hocanın kara cümleyi iyice okutmasındandır .","hesabın , bütün bu derslerin hepsinin üstünde olması , ömer hocanın kara_cümleyi iyice okutmasındandır ."
"hepsi hasta ve küskün olan bu yurttaşlar da bugünün ağır iktisadi koşullarının kara kışında sefalete terk edilmişlerdi .","hepsi hasta ve küskün olan bu yurttaşlar da bugünün ağır iktisadi koşullarının kara_kışında sefalete terk edilmişlerdi ."
"ayın aksi içinden bir karartı geçiyordu .","ayın aksi içinden bir karartı geçiyordu ."
"bu itibarladır ki ben bu partiler hakkında , aynı gaye için yürüyen kardeş partilerdir diyorum .","bu itibarladır ki ben bu partiler hakkında , aynı gaye için yürüyen kardeş_partilerdir diyorum ."
"sırtında i̇ngiliz kumaşından karyağdılı mükemmel bir elbise .","sırtında i̇ngiliz kumaşından karyağdılı mükemmel bir elbise ."
"çatık kaşlı adam .","çatık_kaşlı adam ."
"bu adam benim can düşmanımdır .","bu adam benim can_düşmanımdır ."
"i̇nsanoğlu gerçeğin bir parçasını kavradı mı bütününü kavradığı düşüne kapılır .","i̇nsanoğlu gerçeğin bir_parçasını kavradı mı bütününü kavradığı düşüne kapılır ."
"biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek zamanlara doğru yollarımızı tıkayan aşılmaz setleri yıkamazdık .","biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek_zamanlara doğru yollarımızı tıkayan aşılmaz setleri yıkamazdık ."
"biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek zamanlara doğru yollarımızı tıkayan aşılmaz setleri yıkamazdık .","biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek zamanlara doğru_yollarımızı tıkayan aşılmaz setleri yıkamazdık ."
"irmak aşağıda bir yandan kayalığın üzerine şarıl şarıl boşanıyor .","irmak aşağıda bir_yandan kayalığın üzerine şarıl şarıl boşanıyor ."
"ben büyüyünce uzun boylu , ince endamlı , kaytan bıyıklı bir delikanlı olmak ve hep öyle kalmak emelindeydim .","ben büyüyünce uzun boylu , ince endamlı , kaytan bıyıklı bir delikanlı olmak ve hep öyle kalmak emelindeydim ."
"kazasız bir yolculuk .","kazasız bir yolculuk ."
"oracıkta kelimesiz bir anlaşma ile ana oğul birbirimizin kolları arasına yığıldık .","oracıkta kelimesiz bir anlaşma ile ana oğul birbirimizin kolları arasına yığıldık ."
"o zaman kenar semtlerin meşhur türkülerinden biri şu idi .","o zaman kenar_semtlerin meşhur türkülerinden biri şu idi ."
"kerpiç evler , ipe serili çamaşırlar gibi ay ışığında sallanıyorlar .","kerpiç evler , ipe serili çamaşırlar gibi ay_ışığında sallanıyorlar ."
"ne olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur .","ne olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur ."
"ne olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur .","ne_olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur ."
"yoksa keten helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i̇stanbul'da ?","yoksa keten_helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i̇stanbul'da ?"
"yoksa keten helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i̇stanbul'da ?","yoksa keten helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i̇stanbul'da ?"
"ahbapları onu bir kır eğlencesine davet etmişler .","ahbapları onu bir kır_eğlencesine davet etmişler ."
"beyaz etekliğindeki ekmek kırıntılarını kuşlara serper .","beyaz_etekliğindeki ekmek kırıntılarını kuşlara serper ."
"kıyak bir koşu atı .","kıyak bir koşu_atı ."
"küçük dalgalar kimileyin gülüşür , kimileyin ağlaşır , ona göre .","küçük_dalgalar kimileyin gülüşür , kimileyin ağlaşır , ona göre ."
"çevre sağlığını korumak ve çevre kirlenmesini önlemek devletin ve vatandaşların ödevidir .","çevre_sağlığını korumak ve çevre kirlenmesini önlemek devletin ve vatandaşların ödevidir ."
"bu isim bana bir zamanlar i̇stanbul'un en kirli âlemlerinde yuvalanmış bir simayı hatırlattı .","bu isim bana bir_zamanlar i̇stanbul'un en kirli âlemlerinde yuvalanmış bir simayı hatırlattı ."
"bekçisi kalsın artık bu yurdun ihtiyarlar / koç yiğitler arasın başka güzel diyarlar","bekçisi kalsın artık bu yurdun ihtiyarlar / koç_yiğitler arasın başka güzel diyarlar"
"beraber otururuz , ben de yazılı yoklamaları kolaylarım .","beraber otururuz , ben de yazılı_yoklamaları kolaylarım ."
"sonra kol demirinin usulca kaldırıldığını duyduk ve aralanan kapıdan içeriye süzüldük .","sonra kol_demirinin usulca kaldırıldığını duyduk ve aralanan kapıdan içeriye süzüldük ."
"frenk gömleğinde , bazen bileklerinden ellerinin üstüne düşen yuvarlak , katı , kolalı kollukları vardı .","frenk_gömleğinde , bazen bileklerinden ellerinin üstüne düşen yuvarlak , katı , kolalı kollukları vardı ."
"kurmay başkanının ailesi , dün kolorduya gideceklerini söylediler .","kurmay_başkanının ailesi , dün kolorduya gideceklerini söylediler ."
"en saçma görünen batıl inançlar dahi insanın bir duygusunu , bir davranışını düzenleme gayesini güder .","en saçma görünen batıl_inançlar dahi insanın bir duygusunu , bir davranışını düzenleme gayesini güder ."
"bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .","bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta ."
"bize defineden pay çıkaracak derken bütün urbamızı , saat kordonumuzu , para cüzdanımızı , yeni potinlerimizi üste verdik .","bize defineden pay çıkaracak derken bütün urbamızı , saat kordonumuzu , para_cüzdanımızı , yeni potinlerimizi üste verdik ."
"kordon boyunun sıcak kaldırımları üstünde akşamın ilk gölgeleri uzanmaya başlamıştı .","kordon_boyunun sıcak kaldırımları üstünde akşamın ilk gölgeleri uzanmaya başlamıştı ."
"bu seferler , bu at koşturmalar beyhude değil .","bu seferler , bu at koşturmalar beyhude değil ."
