sentence,gold_mwe,pred_mwe
"ayna ithal edermiş , sonra iflas etmiş , az buçuk oynatmış .",az buçuk,az_buçuk
"bu , ihtiyar kitapçıdan alıp evde bayıla bayıla okuduğu küçük hissî romanlardan biriydi .",bayıla bayıla,bayıla_bayıla
palas pandıras evden fırlayıp bir de üstüne o kadar taksi parası bayıldığına bin pişmandı .,o kadar,o_kadar
palas pandıras evden fırlayıp bir de üstüne o kadar taksi parası bayıldığına bin pişmandı .,palas pandıras,palas_pandıras
palas pandıras evden fırlayıp bir de üstüne o kadar taksi parası bayıldığına bin pişmandı .,bir de,bir_de
"yol , yavaş yavaş bayırlaşıyor .",yavaş yavaş,yavaş_yavaş
su üzerinde yalnız bayrak direği kalmış olan sevgili gemisine baktı .,bayrak direği,bayrak_direği
"kardeşim 23 nisanda doğduğu için ona bayram çocuğu , diyorlar .",bayram çocuğu,bayram_çocuğu
son gün hemen parasız çocuklara kalırdı bayram yeri .,bayram yeri,bayram_yeri
"uzun kirpikli gözleri sık sık açılıp kapanıyor , bebekleri daima hareket ediyordu .",sık sık,sık_sık
"basit beden terbiyesi hareketleri dahi muayyen kaidelere uymayı , çalışmayı , terlemeyi icap ettirir .",beden terbiyesi,beden_terbiyesi
beklenmez bir tehlike karşısında şaşkınlıktan kendini o tehlikenin ta göbeğine kaldırıp atan bir adam gibi misafirlerin önüne fırladım .,adam gibi,adam_gibi
bu zarflar hisse senedi doluydu .,hisse senedi,hisse_senedi
"daha da belirleşen neşesiyle kalleşti , acımasızdı .",daha da,daha_da
karısı kocasının bir bellek kaybı krizine tutulduğunu sanmakta olduğunu söylemiştir .,bellek kaybı,bellek_kaybı
"anahtar deliği karanlıktı , içerden belli belirsiz sesler geliyordu .",belli belirsiz,belli_belirsiz
bütün dikkat ve tecessüsümle etrafımda bir an evvel muayyeniyet yaratmaya çalışıyordum .,bir an,bir_an
dedim tane tane olmuş benlerin / dedi zülfüm değdi tel yarasıdır,tane tane,tane_tane
senin gibisini pilotluğa almayanların aklına şaşayım .,aklına şaşayım,aklına_şaşayım
"o kadar çok değişiklik , o kadar büyük bir eskiden ayrılık ve benzeyişsizlik var .",o kadar,o_kadar
"eskisinden daha berbat , iyileşmek ne gezer .",ne gezer,ne_gezer
sanatta politika ne kadar berbatsa politikada sanat da o kadar iğrenç olur .,ne kadar,ne_kadar
"besleme kız utandı , bütün kanı yüzüne çıktı , hemen ayağa kalktı .",besleme kız,besleme_kız
beş vakit namazına beş daha katar .,beş vakit,beş_vakit
"bir beygir gücü o , 736 kilovata eşittir .",beygir gücü,beygir_gücü
bir beyin kanaması ile ölen cenap şehabettin .,beyin kanaması,beyin_kanaması
beylikten alacaklı olmak .,alacaklı olmak,alacaklı_olmak
amerikan bezi .,amerikan bezi,amerikan_bezi
"kitabı bir süs kabul etmek , kültür görgüsüzlüğünün en somut örneğini oluşturur .",kabul etmek,kabul_etmek
bu yazarın bir de fransızca kitabını almıştım ama sıkılmış bırakıvermiştim .,bir de,bir_de
kim bilir saat kaçlara kadar aç ve biilaç duracağız .,kim bilir,kim_bilir
onları merakla seyreden bir kalabalık önünde bilek güreşi yapıyorlardı .,bilek güreşi,bilek_güreşi
doğa bilgisi .,doğa bilgisi,doğa_bilgisi
davranışlarını bir an önce bilincinin denetiminden kurtarmak için kadehleri birer dikişte boşaltmaya mı başladı ?,bir an önce,bir_an_önce
annemin dul maaşından ayrılmış bütçeme bir de posta masrafı binmişti her hafta .,bir de,bir_de
bir âlem bu toprakların üstü .,bir âlem,bir_âlem
fakat bu tavrını bir parça arsızca buluyordu .,bir parça,bir_parça
"peki , bu aynada beliren kehanetlerin bir bir gerçekleşmesine ne diyeceksin ?",bir bir,bir_bir
"kondulardan tek tek başlar uzandı , insanlar birer ikişer konduların önünde toplandı .",birer ikişer,birer_ikişer
"kondulardan tek tek başlar uzandı , insanlar birer ikişer konduların önünde toplandı .",tek tek,tek_tek
ve bir hamlede üçüncü bardaktan çıkıvermişti boncuk .,bir hamlede,bir_hamlede
birincisi ne kadar mağrursa öbürü o kadar yılışık .,o kadar,o_kadar
birincisi ne kadar mağrursa öbürü o kadar yılışık .,ne kadar,ne_kadar
bütün grubu hiç olmazsa ilk ineceğimiz iskeleye kadar birincide götürmek istemişti .,hiç olmazsa,hiç_olmazsa
şiirlerinin birkaçı erişilmez derecede güzel belki de şair olmaya özenmediği için eşsiz incilerdir .,belki de,belki_de
"o gün , hemen bir koşu seracılara gittim , kocaman bir yasemin aldım , eve getirdim .",bir koşu,bir_koşu
"o , dünyanın bir numaralı oyuncusudur .",bir numaralı,bir_numaralı
"hanımlar gene bir örnek yeldirme giymişler , bir örnek başörtü örtmüşler .",bir örnek,bir_örnek
"hastalıktan ötürü engelliler bir yana , hep susan bir insan tasarlamaya yetmiyor hayal gücüm .",bir yana,bir_yana
"herkes sofraya oturmuş , bir yandan çorbalarını kaşıklayıp bir yandan da haberleri seyrediyordu .",bir yandan,bir_yandan
gelip gidişleri giderek seyreldi ve bir zaman sonra tümüyle yitti ercan .,bir zaman,bir_zaman
"yetişir koştuğum aşkın peşi sıra / bitirdi beni bu içki , bu kumar",peşi sıra,peşi_sıra
batı bloku .,batı bloku,batı_bloku
"ben de karşısında ne yapacağımı bilmez , şuursuz bir esir gibi şaşkın şaşkın bocaladım durdum .",şaşkın şaşkın,şaşkın_şaşkın
"otuz bu kadar devlet , hiç durmadan dinlenmeden boğazlaşabilirler miydi ?",bu kadar,bu_kadar
koyu yeşil renk odayı boğdu .,koyu yeşil,koyu_yeşil
"zaten durumun vahametini sezen müdürle hoca , işi gürültüye boğmak için atatürk'e müfredat programına dair bir şeyler anlatmaya başladılar .",gürültüye boğmak,gürültüye_boğmak
ne çare ki boğuşma esnasında o da birkaç yerinden yaralanmış .,ne çare,ne_çare
bu iki radyo istasyonu birbirini bozuyor .,radyo istasyonu,radyo_istasyonu
"gözyaşları , kısa bir an kirpiklerinin ucunda boncuk boncuk asılı duruyor .",boncuk boncuk,boncuk_boncuk
"gözyaşları , kısa bir an kirpiklerinin ucunda boncuk boncuk asılı duruyor .",bir an,bir_an
"gelen , bakkalın kırmızı yüzlü , boncuk mavisi gözlü küçük çırağıydı .",boncuk mavisi,boncuk_mavisi
"milâs'ın en iyi terzisine yaptırdığım bonjurumu giyerek memurlar arasına katılıyor , yaşlı başlı insanlardan . akran muamelesi görüyorum .",yaşlı başlı,yaşlı_başlı
bir bakıma belki de borç harç içinde beş nüfusla ailesini geçindirmeye uğraşan biriydi .,bir bakıma,bir_bakıma
bir bakıma belki de borç harç içinde beş nüfusla ailesini geçindirmeye uğraşan biriydi .,borç harç,borç_harç
bir bakıma belki de borç harç içinde beş nüfusla ailesini geçindirmeye uğraşan biriydi .,belki de,belki_de
"i̇şte bunda bir kurt yeniği var diye bu gece uyumamış , kuyu başındaki bostan gölgeliğinde beklemişti .",kurt yeniği,kurt_yeniği
"o , bekçi değil , bostan korkuluğu .",bostan korkuluğu,bostan_korkuluğu
"yaşlı başlı insanlarız , dedi .",yaşlı başlı,yaşlı_başlı
"birisi sütsüz çikolata renginde , uzun boylu , geniş omuzlu , amerikan boksörlerine benziyordu .",uzun boylu,uzun_boylu
yalnız kapı ile dolabın yüzleri tel ve fil dişi kakma ve boyasızdır .,fil dişi,fil_dişi
"güçlü kuvvetli kız , boyca ondan en az iki karış yüksek .",güçlü kuvvetli,güçlü_kuvvetli
önü boydan boya ayna olan uzun mermer masanın kenarında yavaş yavaş çalışıyordu .,boydan boya,boydan_boya
önü boydan boya ayna olan uzun mermer masanın kenarında yavaş yavaş çalışıyordu .,yavaş yavaş,yavaş_yavaş
kaldırıma boylu boyunca yatmıştı .,boylu boyunca,boylu_boyunca
"on lira boyunduruk parası ayırmışsınız , bizim hiç kahrımız yok mu ?",boyunduruk parası,boyunduruk_parası
eğer nişanını bozduysa yazıklar olsun .,yazıklar olsun,yazıklar_olsun
süleyman'ı adada yüzü o kadar bozuk ve korkunç buldu ki .,o kadar,o_kadar
günümüze dek soysuzlaşa soysuzlaşa varagelen bozuk düzen her zaman yoktu .,her zaman,her_zaman
günümüze dek soysuzlaşa soysuzlaşa varagelen bozuk düzen her zaman yoktu .,bozuk düzen,bozuk_düzen
"evet ağzı ile değilse de sakalı ile böyle der , kendine için için böyle bir üstünlük böbürü yaratırdı .",için için,için_için
böyle acıklı şeyleri ne diye yazıyorum bilmem ki ?,ne diye,ne_diye
"öyle bir yol ki git bre git , bitmez .",bir yol,bir_yol
"çocuklar taşları , kırılmamış briketleri , tuğlaları çarçabuk bir yana yığdılar .",bir yana,bir_yana
bu gidişle söyleyeceği de yok galiba !,bu gidişle,bu_gidişle
"nihayet , yaza çize ilk satırı üç nokta ile başlayan yeni bir tarz icat ettim .",üç nokta,üç_nokta
ortalık sarı bir toz bulutu içinde .,toz bulutu,toz_bulutu
gökler bulutlanıyor rüzgâr serinliyordu / serpilmeye başladı bir yağmur ince ince,ince ince,ince_ince
bu meyanda kendi elinden çıkma üç telli curalar sattığını hatırlıyorum .,bu meyanda,bu_meyanda
yeryüzünün sıcaktan kavrulduğu ve herkesin buram buram terlediği bu temmuz güneşinde benim ellerim buz gibi idi .,buram buram,buram_buram
yeryüzünün sıcaktan kavrulduğu ve herkesin buram buram terlediği bu temmuz güneşinde benim ellerim buz gibi idi .,buz gibi,buz_gibi
"buncağızlar bu fırsattan faydalanmak şöyle dursun , küçük hesaplar , burjuvaca kaygılarla onu heba etmişler .",şöyle dursun,şöyle_dursun
"yoksa ben hiç de aptal , tutsak ruhlu , herhangi maskara herifin burma bıyıklarına hayran olan dişilerden değilim .",hiç de,hiç_de
bu karnaval kaçırılır mı diye buruk buruk gülümsedi .,buruk buruk,buruk_buruk
bağırsaklarım burum burum buruluyor .,burum burum,burum_burum
koskoca ve bomboş salonda o türlü burun burunayız ki mutlaka ya konuşmamız yahut sille tokat birbirimize girmemiz lazım .,sille tokat,sille_tokat
"o , bu sefer narin ve utangaç kıza döndü .",bu sefer,bu_sefer
az beli bükük ve gözleri biraz baygın bir ihtiyar .,beli bükük,beli_bükük
bürokratik engelleri ortadan kaldıracak bir yol aradık ve bulduk .,bir yol,bir_yol
"düğün sahibinin bütçesi ne kadar dar ve mütevazı olursa olsun , hokkabaz şarttı .",ne kadar,ne_kadar
gönlümü yararak bütün bütüne / benzedim sararmış yaban gülüne,bütün bütüne,bütün_bütüne
megalomaninin kökeninde çoğu zaman aşağılık kompleksi yatar .,aşağılık kompleksi,aşağılık_kompleksi
camekânla bölünmüş bir kahve ocağı ile altı yedi masa vardı içeride .,kahve ocağı,kahve_ocağı
"sağa sola kaçıştık da , canımızı dar kurtardık .",sağa sola,sağa_sola
dane dane benleri var yüzünde / can alıcı bakışları gözünde,can alıcı,can_alıcı
sen bir ahu gibi dağdan dağa kaçsan da yine / seni aşkım canavarlar gibi takip edecek,ahu gibi,ahu_gibi
"necati'nin o gün bir kere bile aklından geçmeyen bir isim , uzaklaşmış hatıraları arasından canlandı .",bir kere,bir_kere
komutan canlı canlı cevap veriyordu .,canlı canlı,canlı_canlı
"bir insan daha var çok şükür evde / nefes var / ayak sesi var / çok şükür , çok şükür",çok şükür,çok_şükür
"yok canım , öyle demişim demek , derken ne kadar da can olurdu .",yok canım,yok_canım
"yok canım , öyle demişim demek , derken ne kadar da can olurdu .",ne kadar,ne_kadar
"cart curt etmesine bakma , korkaktır .",cart curt,cart_curt
"bildiği şey hükûmete casusluk etmek , hükûmeti düşürmek isteyenleri enselemektir .",casusluk etmek,casusluk_etmek
üç gün üç gece cehennem azabı çekip borcunun ancak bir kısmını ödedi .,cehennem azabı,cehennem_azabı
"beni dinleyin bir yol , ey cemaatimüslimin !",bir yol,bir_yol
"onu bu kadar candan alkışlayan i̇stanbul , iki gün sonra çok derin bir üzüntüyle cenaze alayını izledi .",bu kadar,bu_kadar
"yıldız , bileğimi bir mengene gibi sıktı .",mengene gibi,mengene_gibi
dedim akça ceren çölde ne gezer .,ne gezer,ne_gezer
dağdan baktığınızda her biri beş altı fil cesametinde .,beş altı,beş_altı
dağdan baktığınızda her biri beş altı fil cesametinde .,her biri,her_biri
bana bir şey söylemeye cesaret ettiğini gördünüz mü şimdiye kadar ?,şimdiye kadar,şimdiye_kadar
elini koynuna sokup ceylan bakışlı bir çingene kızı resmi çıkardı .,ceylan bakışlı,ceylan_bakışlı
cezasını tamamlayana kadar tek kişilik bir koğuşta kalmış .,tek kişilik,tek_kişilik
"o oyunlar , o cıvıl cıvıl söyleyişler .",cıvıl cıvıl,cıvıl_cıvıl
cıvıl cıvıl söylediğin türkü .,cıvıl cıvıl,cıvıl_cıvıl
"beyaz ipek pantolon , kavuniçi ipek gömlek giyinmiş ; saçları saman sarısı , teni pembe .",saman sarısı,saman_sarısı
okuduğunuz ne kadar cinai roman varsa bu karanlık ve tenha sokaklarda âdeta hayat bulur .,ne kadar,ne_kadar
"öyle ya , senin dölün yok , döşün yok !",öyle ya,öyle_ya
nüfus cüzdanı .,nüfus cüzdanı,nüfus_cüzdanı
"kılıcını çekip tek başına atını , düşman başkumandanının çadırına saldırarak ölüm arayan türk kumandanları görülmüştür .",tek başına,tek_başına
açık kalpli olmamak çağ dışı bir tutum olur .,açık kalpli,açık_kalpli
açık kalpli olmamak çağ dışı bir tutum olur .,çağ dışı,çağ_dışı
"i̇sa'nın ruhu eğer bugün içinden çıkmış olduğu yere inerek bu sahneyi görseydi , kim bilir patriklerini hangi oduna çakardı .",kim bilir,kim_bilir
bunların çalgılı çağanaklı davetlere benzeyen bir tarafları yoktu .,çalgılı çağanaklı,çalgılı_çağanaklı
elektrik süpürgesi çalışmıyor,elektrik süpürgesi,elektrik_süpürgesi
"kaptan , gemiyi ağzına kadar doldurmuş , gemi yan yatmış , bir deniz çalkantısıyla alabora olmuş .",ağzına kadar,ağzına_kadar
dar boğazda deniz gece gündüz çalkantılıdır .,gece gündüz,gece_gündüz
"bet beniz solmuş , gözler büyümüş , kansız dudaklar aralık , alt üst dişler çalpara gibi birbirine vuruyor .",alt üst,alt_üst
o gün bugündür çamaşır makinesi durmaksızın çalışıyor .,çamaşır makinesi,çamaşır_makinesi
kaynayıp çifte kazan aksa da çamçak çamçak .,çamçak çamçak,çamçak_çamçak
çamur deryası mahallede kışı geçirmek bir azaptı .,kışı geçirmek,kışı_geçirmek
çamur deryası mahallede kışı geçirmek bir azaptı .,çamur deryası,çamur_deryası
"i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz karasıydılar .",çanak yalayıcı,çanak_yalayıcı
bir romanım türkiye çapında ilk kez bu kadar çok okunuyordu .,bu kadar,bu_kadar
çapaçullukla hiç de alakası bulunmayan biri .,hiç de,hiç_de
çapraz ateş .,çapraz ateş,çapraz_ateş
güneş çarpmak .,güneş çarpmak,güneş_çarpmak
"çatalı elinden düştü , ağzı açık kaldı .",ağzı açık,ağzı_açık
tavan arasını çocuklar için iki odalı bir çatı katı yapmıştır .,çatı katı,çatı_katı
i̇ngilizceyi çatır çatır konuşuyor .,çatır çatır,çatır_çatır
kapıya yüklenmiş ve çatır çutur kırarak içeriye girmiş .,çatır çutur,çatır_çutur
bir zurna gibi duyulan çatlak sesiyle âlemi çekiştirir .,zurna gibi,zurna_gibi
o dibek kafalı sülükoğlu'nu hasedinden çatlatacağız .,dibek kafalı,dibek_kafalı
kırık tahtaları bir solukta yan yana çattılar .,bir solukta,bir_solukta
kırık tahtaları bir solukta yan yana çattılar .,yan yana,yan_yana
"çat pat i̇ngilizcesi olduğundan , onu tutmuş , harbiye nezaretiyle işgal karargâhı arasında irtibat zabiti yapmışlardı .",çat pat,çat_pat
