sentence_id,sentence_text,gold_tokens,pred_tokens,missing_tokens,extra_tokens,exact_match,token_accuracy
30,Tren yolu nehrin açığından geçer .,Tren yolu nehrin açığından geçer .,Tren yolu nehrin açığından geçer .,,,True,1.0
31,"Susuzluk korkusu , çölde , açık denizde , çorak bir dağ başında kapkara kızgın bir el gibi insanın gırtlağına sarılabilir .","Susuzluk korkusu , çölde , açık denizde , çorak bir dağ başında kapkara kızgın bir el gibi insanın gırtlağına sarılabilir .","Susuzluk korkusu , çölde , açık denizde , çorak bir dağ başında kapkara kızgın bir el gibi insanın gırtlağına sarılabilir .",,,True,1.0
32,"Başka yerlerde süt , ekmekten üstün bir gıdadır .","Başka yerlerde süt , ekmekten üstün bir gıdadır .","Başka yerlerde süt , ekmekten üstün bir gıdadır .",,,True,1.0
33,"Hasan Şaş , bir soru üzerine , Güney Kore'de futbol oynamayı düşünmediğini açıkladı .","Hasan Şaş , bir soru üzerine , Güney Kore'de futbol oynamayı düşünmediğini açıkladı .","Hasan Şaş , bir soru üzerine , Güney Kore'de futbol oynamayı düşünmediğini açıkladı .",,,True,1.0
34,O köprünün açıklığı da hemen hemen aynı açıklıkta bizim köprüyle .,O köprünün açıklığı da hemen hemen aynı açıklıkta bizim köprüyle .,O köprünün açıklığı da hemen hemen aynı açıklıkta bizim köprüyle .,,,True,1.0
35,"Damalı bir eteklik , açık mavi kapalı bir yün kazak giymişti .","Damalı bir eteklik , açık mavi kapalı bir yün kazak giymişti .","Damalı bir eteklik , açık mavi kapalı bir yün kazak giymişti .",,,True,1.0
36,Bu kadar açık sözlü oluşu beni şaşırtmıştı ama belli etmedim .,Bu kadar açık sözlü oluşu beni şaşırtmıştı ama belli etmedim .,Bu kadar açık sözlü oluşu beni şaşırtmıştı ama belli etmedim .,,,True,1.0
37,"Arkadaşlarımdan mümkün olduğu kadar alarga yürüyor , kendimi pencerelerin , kapıların ışık sahası dışına çıkarmaya uğraşıyordum .","Arkadaşlarımdan mümkün olduğu kadar alarga yürüyor , kendimi pencerelerin , kapıların ışık sahası dışına çıkarmaya uğraşıyordum .","Arkadaşlarımdan mümkün olduğu kadar alarga yürüyor , kendimi pencerelerin , kapıların ışık sahası dışına çıkarmaya uğraşıyordum .",,,True,1.0
38,Resmî açılış töreni ne zaman beyefendi ?,Resmî açılış töreni ne zaman beyefendi ?,Resmî açılış töreni ne zaman beyefendi ?,,,True,1.0
39,Ateşi düşünce hasta açıldı .,Ateşi düşünce hasta açıldı .,Ateşi düşünce hasta açıldı .,,,True,1.0
40,"Araç uzun yolda açıldı , hızı arttı .","Araç uzun yolda açıldı , hızı arttı .","Araç uzun yolda açıldı , hızı arttı .",,,True,1.0
41,"Ben yüzerken biraz fazla açıldım , kendimi Vardar'ın kuvvetli bir akıntısına kaptırdım .","Ben yüzerken biraz fazla açıldım , kendimi Vardar'ın kuvvetli bir akıntısına kaptırdım .","Ben yüzerken biraz fazla açıldım , kendimi Vardar'ın kuvvetli bir akıntısına kaptırdım .",,,True,1.0
42,Konileri açındırırız ama küreyi açındıramayız .,Konileri açındırırız ama küreyi açındıramayız .,Konileri açındırırız ama küreyi açındıramayız .,,,True,1.0
43,Öğrenme konusundaki yorulmayan açlığımı karşılayan bir okuldaydım .,Öğrenme konusundaki yorulmayan açlığımı karşılayan bir okuldaydım .,Öğrenme konusundaki yorulmayan açlığımı karşılayan bir okuldaydım .,,,True,1.0
44,Karla kapanan yolu açmak .,Karla kapanan yolu açmak .,Karla kapanan yolu açmak .,,,True,1.0
45,Su borusunu açmak .,Su borusunu açmak .,Su borusunu açmak .,,,True,1.0
46,Bu boyayı biraz daha açmalı .,Bu boyayı biraz daha açmalı .,Bu boyayı biraz daha açmalı .,,,True,1.0
47,Sınav açmak .,Sınav açmak .,Sınav açmak .,,,True,1.0
48,"Öğretmen sürekli konuşuyor , öğrenciyi açmak istiyordu .","Öğretmen sürekli konuşuyor , öğrenciyi açmak istiyordu .","Öğretmen sürekli konuşuyor , öğrenciyi açmak istiyordu .",,,True,1.0
49,"İki kolunu da yukarı kadar sıvadı , sert adaleli kollarını meydana çıkardı .","İki kolunu da yukarı kadar sıvadı , sert adaleli kollarını meydana çıkardı .","İki kolunu da yukarı kadar sıvadı , sert adaleli kollarını meydana çıkardı .",,,True,1.0
50,"Yargıtay , adliye mahkemelerince verilen ve kanunun başka bir adli yargı mercisine bırakmadığı karar ve hükümlerin son inceleme mercisidir .","Yargıtay , adliye mahkemelerince verilen ve kanunun başka bir adli yargı mercisine bırakmadığı karar ve hükümlerin son inceleme mercisidir .","Yargıtay , adliye mahkemelerince verilen ve kanunun başka bir adli yargı mercisine bırakmadığı karar ve hükümlerin son inceleme mercisidir .",,,True,1.0
51,Hemen hepsi para çevrelerinin adamlarıydı .,Hemen hepsi para çevrelerinin adamlarıydı .,Hemen hepsi para çevrelerinin adamlarıydı .,,,True,1.0
52,Tamamen ve sadece sana ait olacak ama kendini ona adamanı istemeyecek .,Tamamen ve sadece sana ait olacak ama kendini ona adamanı istemeyecek .,Tamamen ve sadece sana ait olacak ama kendini ona adamanı istemeyecek .,,,True,1.0
53,Bu ağır yükü ticarethaneye taşıyan sırık hamallarına adam başı birkaç mangır veriliyordu .,Bu ağır yükü ticarethaneye taşıyan sırık hamallarına adam başı birkaç mangır veriliyordu .,Bu ağır yükü ticarethaneye taşıyan sırık hamallarına adam başı birkaç mangır veriliyordu .,,,True,1.0
54,"Hem de ne adamcıldır , ne candır , bilseniz .","Hem de ne adamcıldır , ne candır , bilseniz .","Hem de ne adamcıldır , ne candır , bilseniz .",,,True,1.0
55,"Yabanlık lacivert entarisi , baş örtüsü , çökük yanaklarıyla annesi kapıda bekliyordu .","Yabanlık lacivert entarisi , baş örtüsü , çökük yanaklarıyla annesi kapıda bekliyordu .","Yabanlık lacivert entarisi , baş örtüsü , çökük yanaklarıyla annesi kapıda bekliyordu .",,,True,1.0
56,Ahmet Vefik Paşa'nın Zor Nikâh'ı Molière'den adaptedir .,Ahmet Vefik Paşa'nın Zor Nikâh'ı Molière'den adaptedir .,Ahmet Vefik Paşa'nın Zor Nikâh'ı 'den adaptedir .,Molière'den,'den,False,0.778
57,Adaşlık maceraları yalnız bu kadarla bitmez .,Adaşlık maceraları yalnız bu kadarla bitmez .,Adaşlık maceraları yalnız bu kadarla bitmez .,,,True,1.0
58,Yedek subay aday adayları .,Yedek subay aday adayları .,Yedek subay aday adayları .,,,True,1.0
59,"Yaşamayı tatsız , dünyayı mahdut gösteren bu adese bana babamdan mı yadigâr kalmıştı ?","Yaşamayı tatsız , dünyayı mahdut gösteren bu adese bana babamdan mı yadigâr kalmıştı ?","Yaşamayı tatsız , dünyayı mahdut gösteren bu adese bana babamdan mı yadigâr kalmıştı ?",,,True,1.0
60,Paranın üstüne oturmak da biraz tatsız bir âdet olmuştu .,Paranın üstüne oturmak da biraz tatsız bir âdet olmuştu .,Paranın üstüne oturmak da biraz tatsız bir âdet olmuştu .,,,True,1.0
61,Onu ya insana verilen özel adla ya da adın yerini tutan bir zamirle gösterir .,Onu ya insana verilen özel adla ya da adın yerini tutan bir zamirle gösterir .,Onu ya insana verilen özel adla ya da adın yerini tutan bir zamirle gösterir .,,,True,1.0
62,"Otele geldiğimiz zaman , kumandanı ölüler gibi sarı ve soluk , bel kayışı takılmış , hançeri belinde , tören esvabı ile salonu adımlarken bulduk .","Otele geldiğimiz zaman , kumandanı ölüler gibi sarı ve soluk , bel kayışı takılmış , hançeri belinde , tören esvabı ile salonu adımlarken bulduk .","Otele geldiğimiz zaman , kumandanı ölüler gibi sarı ve soluk , bel kayışı takılmış , hançeri belinde , tören esvabı ile salonu adımlarken bulduk .",,,True,1.0
63,"Sonra redingot devri geldi ve redingot içinden yarı uşak , yarı kapı kulu , riyakâr , adi bir nesil türedi .","Sonra redingot devri geldi ve redingot içinden yarı uşak , yarı kapı kulu , riyakâr , adi bir nesil türedi .","Sonra redingot devri geldi ve redingot içinden yarı uşak , yarı kapı kulu , riyakâr , adi bir nesil türedi .",,,True,1.0
64,Milletler tarihte fatihlerden fazla adillere bağlıdırlar .,Milletler tarihte fatihlerden fazla adillere bağlıdırlar .,Milletler tarihte fatihlerden fazla adillere bağlıdırlar .,,,True,1.0
65,Memleketin tanınmış bir hekimi .,Memleketin tanınmış bir hekimi .,Memleketin tanınmış bir hekimi .,,,True,1.0
66,Onun telaşlı adımlarla binadan çıkıp karşıdaki adliyeye girdiğini gördüler .,Onun telaşlı adımlarla binadan çıkıp karşıdaki adliyeye girdiğini gördüler .,Onun telaşlı adımlarla binadan çıkıp karşıdaki adliyeye girdiğini gördüler .,,,True,1.0
67,Kardeşinin vazifeden affı kararlaşmış .,Kardeşinin vazifeden affı kararlaşmış .,Kardeşinin vazifeden affı kararlaşmış .,,,True,1.0
68,"Aferin İsmail , söyle , daha bağırarak söyle !","Aferin İsmail , söyle , daha bağırarak söyle !","Aferin İsmail , söyle , daha bağırarak söyle !",,,True,1.0
69,Gül yüzlü bir afetti ki her busesi lale .,Gül yüzlü bir afetti ki her busesi lale .,Gül yüzlü bir afetti ki her busesi lale .,,,True,1.0
70,Demek kahraman tabiatlılar aforozluydular .,Demek kahraman tabiatlılar aforozluydular .,Demek kahraman tabiatlılar aforozluydular .,,,True,1.0
71,Delikanlının sarı kıvırcık saçlı aftosu bile bu seslere alışık olduğu hâlde ürktü .,Delikanlının sarı kıvırcık saçlı aftosu bile bu seslere alışık olduğu hâlde ürktü .,Delikanlının sarı kıvırcık saçlı aftosu bile bu seslere alışık olduğu hâlde ürktü .,,,True,1.0
72,"Seniha'ya sarıldı , aguşuna alıp onu tekrar şımarttı .","Seniha'ya sarıldı , aguşuna alıp onu tekrar şımarttı .","Seniha'ya sarıldı , aguşuna alıp onu tekrar şımarttı .",,,True,1.0
73,Sonra köy ağası hazretleri bizim de kıçımıza atacak tekmeyi .,Sonra köy ağası hazretleri bizim de kıçımıza atacak tekmeyi .,Sonra köy ağası hazretleri bizim de kıçımıza atacak tekmeyi .,,,True,1.0
74,Ağaç tekne .,Ağaç tekne .,Ağaç tekne .,,,True,1.0
75,"Yine beni unuttu , ağaçlıklar arasına yürüdü .","Yine beni unuttu , ağaçlıklar arasına yürüdü .","Yine beni unuttu , ağaçlıklar arasına yürüdü .",,,True,1.0
76,Bu esnada şafak sökmeye ve gök ağarmaya başlamıştı .,Bu esnada şafak sökmeye ve gök ağarmaya başlamıştı .,Bu esnada şafak sökmeye ve gök ağarmaya başlamıştı .,,,True,1.0
77,Rengi birdenbire uçtu .,Rengi birdenbire uçtu .,Rengi birdenbire uçtu .,,,True,1.0
78,Bunların ağdalanır maç maç öterken sakızı .,Bunların ağdalanır maç maç öterken sakızı .,Bunların ağdalanır maç maç öterken sakızı .,,,True,1.0
79,Mekanizmanın ipi ya şu yana ya bu yana ağdıracak .,Mekanizmanın ipi ya şu yana ya bu yana ağdıracak .,Mekanizmanın ipi ya şu yana ya bu yana ağdıracak .,,,True,1.0
80,"Kızmıştım , Keziban'a söylenecek şöyle ağır bir söz arıyordum .","Kızmıştım , Keziban'a söylenecek şöyle ağır bir söz arıyordum .","Kızmıştım , Keziban'a söylenecek şöyle ağır bir söz arıyordum .",,,True,1.0
81,Adam ağır adımlarla gelip masanın başına geçiyor .,Adam ağır adımlarla gelip masanın başına geçiyor .,Adam ağır adımlarla gelip masanın başına geçiyor .,,,True,1.0
82,"Biraz sonra aşağıda bir kapı açıldığı , sonra da ağırca bir şeyin devrildiği duyulur .","Biraz sonra aşağıda bir kapı açıldığı , sonra da ağırca bir şeyin devrildiği duyulur .","Biraz sonra aşağıda bir kapı açıldığı , sonra da ağırca bir şeyin devrildiği duyulur .",,,True,1.0
83,"Niyazi zayıftı , çocukluğunda ağır hastalıklar geçirmişti .","Niyazi zayıftı , çocukluğunda ağır hastalıklar geçirmişti .","Niyazi zayıftı , çocukluğunda ağır hastalıklar geçirmişti .",,,True,1.0
84,Beni karşıladılar ve ağırladılar .,Beni karşıladılar ve ağırladılar .,Beni karşıladılar ve ağırladılar .,,,True,1.0
85,Bu et yarına kalırsa ağırlaşır .,Bu et yarına kalırsa ağırlaşır .,Bu et yarına kalırsa ağırlaşır .,,,True,1.0
86,Babam senden çok mu istedi kalını ?,Babam senden çok mu istedi kalını ?,Babam senden çok mu istedi kalını ?,,,True,1.0
87,"Bu cezai salahiyet hangi kanunla tespit edilmiştir , bilmiyorum .","Bu cezai salahiyet hangi kanunla tespit edilmiştir , bilmiyorum .","Bu cezai salahiyet hangi kanunla tespit edilmiştir , bilmiyorum .",,,True,1.0
88,Beynime bir ağırlık peyda olmuştu .,Beynime bir ağırlık peyda olmuştu .,Beynime bir ağırlık peyda olmuştu .,,,True,1.0
89,Gaganı kapa !,Gaganı kapa !,Gaganı kapa !,,,True,1.0
90,"Çelik ağızlı , küçük gül makasını kâğıdından çıkardı .","Çelik ağızlı , küçük gül makasını kâğıdından çıkardı .","Çelik ağızlı , küçük gül makasını kâğıdından çıkardı .",,,True,1.0
91,"Bir boşalmaya , ağız dolusu boşalmaya , soyundan başlayarak boşalmaya isteğim var ki boşalamazsam patlayacağım .","Bir boşalmaya , ağız dolusu boşalmaya , soyundan başlayarak boşalmaya isteğim var ki boşalamazsam patlayacağım .","Bir boşalmaya , ağız dolusu boşalmaya , soyundan başlayarak boşalmaya isteğim var ki boşalamazsam patlayacağım .",,,True,1.0
92,Koşa badem sığmayan dar ağızlım .,Koşa badem sığmayan dar ağızlım .,Koşa badem sığmayan dar ağızlım .,,,True,1.0
93,Allah ağzımızın tadını bozmasın .,Allah ağzımızın tadını bozmasın .,Allah ağzımızın tadını bozmasın .,,,True,1.0
94,Çocuk haykırarak ağlamaya başlamıştı .,Çocuk haykırarak ağlamaya başlamıştı .,Çocuk haykırarak ağlamaya başlamıştı .,,,True,1.0
95,Şu kara bahtıma ağlıyorum .,Şu kara bahtıma ağlıyorum .,Şu kara bahtıma ağlıyorum .,,,True,1.0
96,"İhtiyarlar , analar , çocuklar ağlaşıyor / Gökten geniş bir yürek matemimi taşıyor","İhtiyarlar , analar , çocuklar ağlaşıyor / Gökten geniş bir yürek matemimi taşıyor","İhtiyarlar , analar , çocuklar ağlaşıyor / Gökten geniş bir yürek matemimi taşıyor",,,True,1.0
97,Ağrılı diş .,Ağrılı diş .,Ağrılı diş .,,,True,1.0
98,Kendini nasıl müdafaa edebilip yâr ve ağyar nazarında parlayacak .,Kendini nasıl müdafaa edebilip yâr ve ağyar nazarında parlayacak .,Kendini nasıl müdafaa edebilip yâr ve ağyar nazarında parlayacak .,,,True,1.0
99,"Terbiyeli , tedbirli , ağzı sıkı , aklı başında bir hizmetçi arıyorlar .","Terbiyeli , tedbirli , ağzı sıkı , aklı başında bir hizmetçi arıyorlar .","Terbiyeli , tedbirli , ağzı sıkı , aklı başında bir hizmetçi arıyorlar .",,,True,1.0
100,"Ben yeni tanıdım ama , kızın eski ahbapları imişler !","Ben yeni tanıdım ama , kızın eski ahbapları imişler !","Ben yeni tanıdım ama , kızın eski ahbapları imişler !",,,True,1.0
101,Bizim de bahçıvan kızı ile ahbaplığımız şurada birkaç gün daha ya sürer ya sürmez !,Bizim de bahçıvan kızı ile ahbaplığımız şurada birkaç gün daha ya sürer ya sürmez !,Bizim de bahçıvan kızı ile ahbaplığımız şurada birkaç gün daha ya sürer ya sürmez !,,,True,1.0
102,"Daha İstanbul'da iken buna ahdetmiş , bu yolda ölümü göze alarak Anadolu'ya çıkmıştı .","Daha İstanbul'da iken buna ahdetmiş , bu yolda ölümü göze alarak Anadolu'ya çıkmıştı .","Daha İstanbul'da iken buna ahdetmiş , bu yolda ölümü göze alarak Anadolu'ya çıkmıştı .",,,True,1.0
103,"Zaman oldu en renkli , en ahenkli şekillerin peşinde koştum .","Zaman oldu en renkli , en ahenkli şekillerin peşinde koştum .","Zaman oldu en renkli , en ahenkli şekillerin peşinde koştum .",,,True,1.0
104,Öyle ahım şahım bir tarafı yoktu vücudunun .,Öyle ahım şahım bir tarafı yoktu vücudunun .,Öyle ahım şahım bir tarafı yoktu vücudunun .,,,True,1.0
105,Bu yakınlarda onu hiç görmedim .,Bu yakınlarda onu hiç görmedim .,Bu yakınlarda onu hiç görmedim .,,,True,1.0
106,"Ahdim olsun , bu işi yapacağım .","Ahdim olsun , bu işi yapacağım .","Ahdim olsun , bu işi yapacağım .",,,True,1.0
107,Ahlakçılar bu mahzurlarla cenkleşiyorlar .,Ahlakçılar bu mahzurlarla cenkleşiyorlar .,Ahlakçılar bu mahzurlarla cenkleşiyorlar .,,,True,1.0
108,O vakte kadar Necmiye'ye bir şey söylememek pek ayıp ve ahmakça bir hareket olacaktı .,O vakte kadar Necmiye'ye bir şey söylememek pek ayıp ve ahmakça bir hareket olacaktı .,O vakte kadar Necmiye'ye bir şey söylememek pek ayıp ve ahmakça bir hareket olacaktı .,,,True,1.0
109,Hangi semtin eczanesi bu kadar değerli insanı sinesinde toplayabilmiştir ?,Hangi semtin eczanesi bu kadar değerli insanı sinesinde toplayabilmiştir ?,Hangi semtin eczanesi bu kadar değerli insanı sinesinde toplayabilmiştir ?,,,True,1.0
110,Genzinde de herhâlde ahtapot olacaktı ki boynunu uzatıp derin derin nefes alırdı .,Genzinde de herhâlde ahtapot olacaktı ki boynunu uzatıp derin derin nefes alırdı .,Genzinde de herhâlde ahtapot olacaktı ki boynunu uzatıp derin derin nefes alırdı .,,,True,1.0
111,Borsada bugün muamele olmadı .,Borsada bugün muamele olmadı .,Borsada bugün muamele olmadı .,,,True,1.0
112,"Birbirlerine nasıl tutkun , yangın bir aile olduklarını sayıp döktü .","Birbirlerine nasıl tutkun , yangın bir aile olduklarını sayıp döktü .","Birbirlerine nasıl tutkun , yangın bir aile olduklarını sayıp döktü .",,,True,1.0
113,Bütün mahalle halkı aile hayatını kontrol ederdi .,Bütün mahalle halkı aile hayatını kontrol ederdi .,Bütün mahalle halkı aile hayatını kontrol ederdi .,,,True,1.0
114,"Tamam bak , ne diyorlardı kışkırtıcıya , ajitatör ; tamam bir iki ajitatör lazım bize .","Tamam bak , ne diyorlardı kışkırtıcıya , ajitatör ; tamam bir iki ajitatör lazım bize .","Tamam bak , ne diyorlardı kışkırtıcıya , ajitatör ; tamam bir iki ajitatör lazım bize .",,,True,1.0
115,"Ablak yüzlü , kısa kesilmiş ak sakallı bir adamdı .","Ablak yüzlü , kısa kesilmiş ak sakallı bir adamdı .","Ablak yüzlü , kısa kesilmiş ak sakallı bir adamdı .",,,True,1.0
116,Ak günler göresin .,Ak günler göresin .,Ak günler göresin .,,,True,1.0
117,Güzel Sanatlar Akademisi .,Güzel Sanatlar Akademisi .,Güzel Sanatlar Akademisi .,,,True,1.0
118,"Akademik bir çalışmadan yanaydı , bu yüzden üniversiteye girdi .","Akademik bir çalışmadan yanaydı , bu yüzden üniversiteye girdi .","Akademik bir çalışmadan yanaydı , bu yüzden üniversiteye girdi .",,,True,1.0
119,Kenarda akaju bir yazıhane duruyordu .,Kenarda akaju bir yazıhane duruyordu .,Kenarda akaju bir yazıhane duruyordu .,,,True,1.0
120,"Başladı , her ay , akaretlerinden kira toplar gibi tıkır tıkır faizleri toplamaya .","Başladı , her ay , akaretlerinden kira toplar gibi tıkır tıkır faizleri toplamaya .","Başladı , her ay , akaretlerinden kira toplar gibi tıkır tıkır faizleri toplamaya .",,,True,1.0
121,Akça kızlar sökün etti yurdundan / Koç yiğitler deli oldu derdinden,Akça kızlar sökün etti yurdundan / Koç yiğitler deli oldu derdinden,Akça kızlar sökün etti yurdundan / Koç yiğitler deli oldu derdinden,,,True,1.0
122,Çatlak ellerde ökçe ve burun yerleri akçıllaşmış delik çoraplar .,Çatlak ellerde ökçe ve burun yerleri akçıllaşmış delik çoraplar .,Çatlak ellerde ökçe ve burun yerleri akçıllaşmış delik çoraplar .,,,True,1.0
123,Diğerlerinin akıbetlerini bilmiyorum .,Diğerlerinin akıbetlerini bilmiyorum .,Diğerlerinin akıbetlerini bilmiyorum .,,,True,1.0
124,Bu aklı size kim verdi .,Bu aklı size kim verdi .,Bu aklı size kim verdi .,,,True,1.0
125,"Gerçek dost ve akıl hocası odur ki , nefsini alçaltmış ve kendisine tabi kılmıştır .","Gerçek dost ve akıl hocası odur ki , nefsini alçaltmış ve kendisine tabi kılmıştır .","Gerçek dost ve akıl hocası odur ki , nefsini alçaltmış ve kendisine tabi kılmıştır .",,,True,1.0
126,Akılsızlığından düşmüştü bu hâllere .,Akılsızlığından düşmüştü bu hâllere .,Akılsızlığından düşmüştü bu hâllere .,,,True,1.0
127,Ada'yı bir rençper akını doldurmuştu .,Ada'yı bir rençper akını doldurmuştu .,Ada'yı bir rençper akını doldurmuştu .,,,True,1.0
128,Pencap vadilerine yerleşen akıncılar ana yurtlarını unutuverdiler .,Pencap vadilerine yerleşen akıncılar ana yurtlarını unutuverdiler .,Pencap vadilerine yerleşen akıncılar ana yurtlarını unutuverdiler .,,,True,1.0
129,Günlerin akışı .,Günlerin akışı .,Günlerin akışı .,,,True,1.0
130,"Annem bunu sezdiği gün , babamın arkasından döktüğü yaşları unutacak kadar bedbaht olur .","Annem bunu sezdiği gün , babamın arkasından döktüğü yaşları unutacak kadar bedbaht olur .","Annem bunu sezdiği gün , babamın arkasından döktüğü yaşları unutacak kadar bedbaht olur .",,,True,1.0
131,Kabartmaların ortalık yerine de akik ve Necef taşlar serpiştirilmiştir .,Kabartmaların ortalık yerine de akik ve Necef taşlar serpiştirilmiştir .,Kabartmaların ortalık yerine de akik ve Necef taşlar serpiştirilmiştir .,,,True,1.0
132,"Arabacı , içkinin söndürdüğü fersiz , kabarık , aklı gözlerini kızın yüzüne yanaştırarak fısıldadı .","Arabacı , içkinin söndürdüğü fersiz , kabarık , aklı gözlerini kızın yüzüne yanaştırarak fısıldadı .","Arabacı , içkinin söndürdüğü fersiz , kabarık , aklı gözlerini kızın yüzüne yanaştırarak fısıldadı .",,,True,1.0
133,Bizde de bir aklıevvel çıksa şu son durumda yaraya şifa verecek neler söylerdi ?,Bizde de bir aklıevvel çıksa şu son durumda yaraya şifa verecek neler söylerdi ?,Bizde de bir aklıevvel çıksa şu son durumda yaraya şifa verecek neler söylerdi ?,,,True,1.0
134,Akliye hekimi .,Akliye hekimi .,Akliye hekimi .,,,True,1.0
135,Gözlerimden yaşlar süzüldü .,Gözlerimden yaşlar süzüldü .,Gözlerimden yaşlar süzüldü .,,,True,1.0
