sentence_id,sentence_text,pred_tokens
169,Şimdi bunları bırak da bir defa alelusul kardeşine söyle .,Şimdi bunları bırak da bir_defa alelusul kardeşine söyle .
183,O zaman biz hayranları onu şiddetle alkışlardık .,O_zaman biz hayranları onu şiddetle alkışlardık .
200,Bileğimde keman gibi altın bilezik var .,Bileğimde keman_gibi altın_bilezik var .
204,Biraz sonra bir besleme kız kocaman bir alüminyum ibriği getirdi .,Biraz sonra bir besleme_kız kocaman bir alüminyum ibriği getirdi .
206,Güzel ama güzel bir söz söyledi .,Güzel_ama güzel bir söz söyledi .
210,"Aman , bir daha yapmam !","Aman , bir_daha yapmam !"
215,Enkazın kalkması üç dört günlük ameliyata muhtaç .,Enkazın kalkması üç_dört günlük ameliyata muhtaç .
222,Karşımdaki duvara takılmış iki ampulden biri sönüktü ve bir gözü kırpılmış bir insan gibi bana bakıyordu .,Karşımdaki duvara takılmış iki ampulden biri sönüktü ve bir gözü kırpılmış bir insan_gibi bana bakıyordu .
234,Anasıl asker ve erkek bir kavim olmadıkları için askerliğin şanından hiçbir zaman nasipleri yoktur .,Anasıl asker ve erkek bir kavim olmadıkları için askerliğin şanından hiçbir_zaman nasipleri yoktur .
238,Bu iki hikâyecik üzerinde zerre kadar edebî münakaşalara girişmemişlerdi .,Bu iki hikâyecik üzerinde zerre_kadar edebî münakaşalara girişmemişlerdi .
240,Fakat bütün memleketin ağzında çalkalanan bu evlerin anha minha 50 liradan fazlaya çıkmayacağı .,Fakat bütün memleketin ağzında çalkalanan bu evlerin anha_minha 50 liradan fazlaya çıkmayacağı .
241,"Uçsuz bucaksız uzayan kır / Kimi yerde nadas , kimi anız","Uçsuz_bucaksız uzayan kır / Kimi yerde nadas , kimi anız"
246,"Dil dökmek , ağız yoklamak .","Dil_dökmek , ağız_yoklamak ."
260,Ham vücutla ancak bu kadar koşabilirim .,Ham vücutla ancak bu_kadar koşabilirim .
262,"Apartmandaki dairelerin ışıkları kapalı , herkes mışıl mışıl uyuyor olmalı .","Apartmandaki dairelerin ışıkları kapalı , herkes mışıl_mışıl uyuyor olmalı ."
274,Bir kere düştün mü ne arayan olur ne soran !,Bir_kere düştün mü ne arayan olur ne soran !
276,Bu elifbada Türk'ün tek bir harfi yoktur .,Bu elifbada Türk'ün tek_bir harfi yoktur .
277,"Belediye çavuşu çarşıyı ve arastaları dolaşmış , esnafa kepenk kapattırmıştır .","Belediye_çavuşu çarşıyı ve arastaları dolaşmış , esnafa kepenk kapattırmıştır ."
280,Çocuk ardın ardın giderken kuyuya düştü .,Çocuk ardın_ardın giderken kuyuya düştü .
282,"Efendiler , bizim çehremiz her zaman temiz ve paktı ve daima temiz ve pak kalacaktır .","Efendiler , bizim çehremiz her_zaman temiz ve paktı ve daima temiz ve pak kalacaktır ."
285,"1,3,5,7,9. dizisi aritmetik bir dizi olup ortak çarpan denilen değişmez oranı 2 sayısıdır .","1,3 , 5,7 , 9 . dizisi aritmetik bir dizi olup ortak_çarpan denilen değişmez oranı 2 sayısıdır ."
291,"Armutların en fenası , en kavruk , en lekeli ve en hamı bile asildir .","Armutların en_fenası , en kavruk , en lekeli ve en hamı bile asildir ."
296,Art damak ünsüzü .,Art_damak_ünsüzü .
314,"Eskiden uzun seneler askerî rüştiyelerde hocalık etmiş olan bu adam , kim bilir ne kadar çocuğun canını yakmıştı .","Eskiden uzun seneler askerî rüştiyelerde hocalık etmiş olan bu adam , kim_bilir ne_kadar çocuğun canını yakmıştı ."
321,Böyle muazzam bir prodüksiyonun ne kadar astronomik finansmana dayandığını siz tahmin edin artık .,Böyle muazzam bir prodüksiyonun ne_kadar astronomik finansmana dayandığını siz tahmin edin artık .
327,Cephesi kireçle badanalanmış kapı pencere çerçeveleri koyu mavi aşı boyalı küçük bir köfteci dükkânına girdiler .,Cephesi kireçle badanalanmış kapı pencere çerçeveleri koyu_mavi aşı_boyalı küçük bir köfteci dükkânına girdiler .
331,Talihin aşırısı da insanı eninde sonunda aptallaştırdığından sonuç aynı kapıya çıkardı .,Talihin aşırısı da insanı eninde_sonunda aptallaştırdığından sonuç aynı kapıya çıkardı .
332,Cemiyetin çaldıklarına nazaran adi sokak hırsızlarının aşırıntıları adam sen de denecek bir hafiflikte kalırdı .,Cemiyetin çaldıklarına nazaran adi sokak hırsızlarının aşırıntıları adam_sen_de denecek bir hafiflikte kalırdı .
334,Tek bir yudum bile almıyordu bardağından ama zaten yeterince içtiği aşikârdı .,Tek_bir yudum bile almıyordu bardağından ama zaten yeterince içtiği aşikârdı .
344,Biçilmiş kaftan galiba bana ateşten gömlek olacak .,Biçilmiş_kaftan galiba bana ateşten_gömlek olacak .
377,Burası o kadar ayakaltı idi ki değme polis hafiyesinin aklına gelmezdi .,Burası o_kadar ayakaltı idi ki değme polis hafiyesinin aklına gelmezdi .
380,Oysa bir türlü yerleşemediğim gibi sanki her an yeniden ayaklanacakmış gibi yaşıyorum .,Oysa bir_türlü yerleşemediğim gibi sanki her an yeniden ayaklanacakmış gibi yaşıyorum .
385,"Soldan dört ayak üzerinde , yalın ayak , başı kabak bir adam görülür .","Soldan dört_ayak üzerinde , yalın_ayak_,_başı_kabak bir adam görülür ."
386,Saatin ayarı bozuk .,Saatin ayarı_bozuk .
394,"Fani bir iz bırakmış burda yatmışsa kimler / Aygın baygın mâniler , açık saçık resimler","Fani bir iz bırakmış burda yatmışsa kimler / Aygın_baygın mâniler , açık_saçık resimler"
395,Sindirim aygıtı .,Sindirim_aygıtı .
402,Üzerlerinde kırmızı aylı beyaz bayrakların sallandığı geniş çadırların önünde öteye beriye gidip gelen doktorlar dolaşıyor .,Üzerlerinde kırmızı aylı beyaz bayrakların sallandığı geniş çadırların önünde öteye_beriye gidip gelen doktorlar dolaşıyor .
407,Bir ülkenin sanat ve kültür hayatı bir bakıma o ülkenin uygarlık aynasıdır .,Bir ülkenin sanat ve kültür hayatı bir_bakıma o ülkenin uygarlık aynasıdır .
430,"Yaramazlığı bir yana , çocukları da azdırdığı için temiz bir dayak yemiş olmalı .","Yaramazlığı bir_yana , çocukları da azdırdığı için temiz bir dayak yemiş olmalı ."
431,"Senin gibi azgın bir delikanlıya vereceğim ilk ders , doyurabildiğin kadının sana vereceği tadın ne kadar önemli olduğudur .","Senin gibi azgın bir delikanlıya vereceğim ilk ders , doyurabildiğin kadının sana vereceği tadın ne_kadar önemli olduğudur ."
432,Kahveci hem kulampara hem de azılı bir katil olarak şöhretli biri olduğundan bu mekâna ayak basan pek olmuyordu .,Kahveci hem kulampara hem_de azılı bir katil olarak şöhretli biri olduğundan bu mekâna ayak basan pek olmuyordu .
433,Zamanımızın Fransız romancıları da bir hayli işi azıtmış durumdadırlar .,Zamanımızın Fransız romancıları da bir_hayli işi azıtmış durumdadırlar .
438,En azından yirmi beş yıl daha yaşamaya azmettim .,En_azından yirmi beş yıl daha yaşamaya azmettim .
442,"Bu kardeşçe , babaca muameleleri karşısında , artık böyle bir hisse kapılmanın ne kadar yersiz olduğunu anlamaya başlamıştım .","Bu kardeşçe , babaca muameleleri karşısında , artık böyle bir hisse kapılmanın ne_kadar yersiz olduğunu anlamaya başlamıştım ."
445,Bu adla bizim kayınbabadan bir hayli para dolandırmışlar .,Bu adla bizim kayınbabadan bir_hayli para dolandırmışlar .
452,Tam o sırada içeri Habeş bir bacı girdi .,Tam o_sırada içeri Habeş bir bacı girdi .
453,"O daha ayakları çıplak küçük bir kızken , geceleri beyaz badanalı kuyunun kenarına yan yana otururduk .","O daha ayakları çıplak küçük bir kızken , geceleri beyaz badanalı kuyunun kenarına yan_yana otururduk ."
454,Badem bıyık hafifçe sola kayıyor .,Badem_bıyık hafifçe sola kayıyor .
455,Nasıl oldu da deminki badireden sağ salim kurtulabildi ?,Nasıl oldu da deminki badireden sağ_salim kurtulabildi ?
459,Bağ bozumu zamanı ceviz çırpmaya giderlerdi .,Bağ_bozumu zamanı ceviz çırpmaya giderlerdi .
462,Burada da her bahsin sonunda yazdığı gibi uzun uzadıya incelemelerde bulunuyor .,Burada da her bahsin sonunda yazdığı gibi uzun_uzadıya incelemelerde bulunuyor .
467,Bu konuyu nasıl buraya bağladığını bir türlü anlamıyorum .,Bu konuyu nasıl buraya bağladığını bir_türlü anlamıyorum .
473,"Hazır bulunanların hepsi tatlı dil , güler yüz taraftarlığında ittifak etmiş gibiydiler .","Hazır bulunanların hepsi tatlı_dil , güler_yüz taraftarlığında ittifak etmiş gibiydiler ."
477,Nice kahramanlar nice sultanlar / Gelmiş gitmiş bağrı yanık ozanlar,Nice kahramanlar nice sultanlar / Gelmiş gitmiş bağrı_yanık ozanlar
480,"Bir bahar bayramının ikinci , üçüncü günleri , abla kardeş kokusunu kim bilir kaçıncı defa alıyordu .","Bir bahar bayramının ikinci , üçüncü günleri , abla kardeş kokusunu kim_bilir kaçıncı defa alıyordu ."
482,Çalıştık bahçıvanla sabah akşam baş başa / Bu üç gülü büyüttük üç yiğit arkadaşa,Çalıştık bahçıvanla sabah_akşam baş_başa / Bu üç gülü büyüttük üç yiğit arkadaşa
483,Her zaman bahçıvanlıkla uğraşan bir ihtiyar adam .,Her_zaman bahçıvanlıkla uğraşan bir ihtiyar adam .
488,Geçenlerde bir iş adamı bakarada yüz bin liraya yakın para kaybetti .,Geçenlerde bir iş_adamı bakarada yüz bin liraya yakın para kaybetti .
492,"Üç yaşına kadar valideler çocuklarına pek az bir şey öğretebilecek veyahut hemen hiçbir şey öğretemeyecek , yalnız bir bakıntıdan ibaret bulunan hizmetlerinde bile .","Üç yaşına kadar valideler çocuklarına pek az bir şey öğretebilecek veyahut hemen hiçbir_şey öğretemeyecek , yalnız bir bakıntıdan ibaret bulunan hizmetlerinde bile ."
493,"Gittikçe kırmızıya çalan bir güneş , her şeyin üzerine , tepeden tırnağa bakırımsı bir yaldız döküyor .","Gittikçe kırmızıya çalan bir güneş , her şeyin üzerine , tepeden_tırnağa bakırımsı bir yaldız döküyor ."
494,"Ev halkı birbirlerine bakışıyorlar , söyleyecek söz bulamıyorlar .","Ev_halkı birbirlerine bakışıyorlar , söyleyecek söz bulamıyorlar ."
496,"Bakkallar , sebzeciler eline bir iki şey tutuştururlardı .","Bakkallar , sebzeciler eline bir_iki şey tutuştururlardı ."
509,"Başkasını seçselerdi , o kaptan , ben de seve seve dalgıç ya da hava verici makineci olurdum .","Başkasını seçselerdi , o kaptan , ben de seve seve dalgıç ya_da hava verici makineci olurdum ."
516,Günün birinde kimsenin yapmadığı bir şeyi yaptı ve bam telinden sakal bıraktı .,Günün_birinde kimsenin yapmadığı bir şeyi yaptı ve bam telinden sakal bıraktı .
520,Ağlasın milletin evladı da bangır bangır .,Ağlasın milletin evladı da bangır_bangır .
521,Sonra geniş bir odada orta yaşlı bankacı kendisine yüz vermeyen yargıcın kızına saldırdı .,Sonra geniş bir odada orta_yaşlı bankacı kendisine yüz vermeyen yargıcın kızına saldırdı .
522,"Kalkıp cevabını veriyor ; bilirse ne âlâ , beş bin kâğıdı cepledi demektir .","Kalkıp cevabını veriyor ; bilirse ne_âlâ , beş bin kâğıdı cepledi demektir ."
524,Güneş banyosu .,Güneş_banyosu .
526,"Banyosuz , duşlu , avuç içi gibi bir aralıktı hamam .","Banyosuz , duşlu , avuç_içi gibi bir aralıktı hamam ."
531,Top ileri geri her havalandıkça bar bar bağırıyorlardı .,Top ileri_geri her havalandıkça bar_bar bağırıyorlardı .
534,"Girip çıktığı mesleklerin hiçbirinde üç dört , hadi bilemediniz , altı aydan fazla barınamadı .","Girip çıktığı mesleklerin hiçbirinde üç_dört , hadi bilemediniz , altı aydan fazla barınamadı ."
538,"Masaları , sıraları üst üste yığıp barikat yapmışlar .","Masaları , sıraları üst_üste yığıp barikat yapmışlar ."
541,"Ortalığı saran barut rengi aydınlık açıldı , açıldı , kül rengine döndü .","Ortalığı saran barut_rengi aydınlık açıldı , açıldı , kül rengine döndü ."
542,"Koşarak basamaklara yürüdü , merdivenleri bir solukta çıktı .","Koşarak basamaklara yürüdü , merdivenleri bir_solukta çıktı ."
553,"Dünyanın masrafını yapmış , araba araba toprak , gübre taşıtmıştır .","Dünyanın masrafını yapmış , araba_araba toprak , gübre taşıtmıştır ."
561,"Ama bir evi tek başına çeviren , o evin düzeninden sorumlu kadınlar ansızın bastıran konuktan her zaman tedirgin olurlar .","Ama bir evi tek_başına çeviren , o evin düzeninden sorumlu kadınlar ansızın bastıran konuktan her_zaman tedirgin olurlar ."
563,"İri yarı , bastonsuz , bir talebe reisi gibi yirmisinde görünen tasasızlığıyla bağırıyordu .","İri_yarı , bastonsuz , bir talebe reisi gibi yirmisinde görünen tasasızlığıyla bağırıyordu ."
566,Başa güreşmek .,Başa_güreşmek .
572,Gözlerini açar açmaz bu baş döndürücü süratten başka bir şey hissetmedi .,Gözlerini açar açmaz bu baş_döndürücü süratten başka bir şey hissetmedi .
576,"Soldan dört ayak üzerinde , yalınayak , başı kabak bir adam görülür .","Soldan dört_ayak üzerinde , yalınayak , başı_kabak bir adam görülür ."
583,O zaman kırmızı başlı kibritler vardı ya .,O_zaman kırmızı başlı kibritler vardı ya .
602,"Ayna ithal edermiş , sonra iflas etmiş , az buçuk oynatmış .","Ayna ithal edermiş , sonra iflas etmiş , az_buçuk oynatmış ."
612,"Bu , ihtiyar kitapçıdan alıp evde bayıla bayıla okuduğu küçük hissî romanlardan biriydi .","Bu , ihtiyar kitapçıdan alıp evde bayıla_bayıla okuduğu küçük hissî romanlardan biriydi ."
613,Palas pandıras evden fırlayıp bir de üstüne o kadar taksi parası bayıldığına bin pişmandı .,Palas_pandıras evden fırlayıp bir_de üstüne o_kadar taksi parası bayıldığına bin pişmandı .
615,"Yol , yavaş yavaş bayırlaşıyor .","Yol , yavaş_yavaş bayırlaşıyor ."
619,Su üzerinde yalnız bayrak direği kalmış olan sevgili gemisine baktı .,Su üzerinde yalnız bayrak_direği kalmış olan sevgili gemisine baktı .
621,"Kardeşim 23 Nisanda doğduğu için ona bayram çocuğu , diyorlar .","Kardeşim 23 Nisanda doğduğu için ona bayram_çocuğu , diyorlar ."
624,Son gün hemen parasız çocuklara kalırdı bayram yeri .,Son gün hemen parasız çocuklara kalırdı bayram_yeri .
627,"Uzun kirpikli gözleri sık sık açılıp kapanıyor , bebekleri daima hareket ediyordu .","Uzun kirpikli gözleri sık_sık açılıp kapanıyor , bebekleri daima hareket ediyordu ."
630,"Basit beden terbiyesi hareketleri dahi muayyen kaidelere uymayı , çalışmayı , terlemeyi icap ettirir .","Basit beden_terbiyesi hareketleri dahi muayyen kaidelere uymayı , çalışmayı , terlemeyi icap ettirir ."
643,Beklenmez bir tehlike karşısında şaşkınlıktan kendini o tehlikenin ta göbeğine kaldırıp atan bir adam gibi misafirlerin önüne fırladım .,Beklenmez bir tehlike karşısında şaşkınlıktan kendini o tehlikenin ta göbeğine kaldırıp atan bir adam_gibi misafirlerin önüne fırladım .
650,"Yeni kelimeler sanatı , daha saf , hiç belagatsiz ve hiçbir zaman , hiçbir şey ispat etmeye çalışmıyor .","Yeni kelimeler sanatı , daha saf , hiç belagatsiz ve hiçbir_zaman , hiçbir_şey ispat etmeye çalışmıyor ."
657,Bu zarflar hisse senedi doluydu .,Bu zarflar hisse_senedi doluydu .
658,"Daha da belirleşen neşesiyle kalleşti , acımasızdı .","Daha_da belirleşen neşesiyle kalleşti , acımasızdı ."
663,Karısı kocasının bir bellek kaybı krizine tutulduğunu sanmakta olduğunu söylemiştir .,Karısı kocasının bir bellek_kaybı krizine tutulduğunu sanmakta olduğunu söylemiştir .
664,"Anahtar deliği karanlıktı , içerden belli belirsiz sesler geliyordu .","Anahtar deliği karanlıktı , içerden belli_belirsiz sesler geliyordu ."
665,Bütün dikkat ve tecessüsümle etrafımda bir an evvel muayyeniyet yaratmaya çalışıyordum .,Bütün dikkat ve tecessüsümle etrafımda bir_an evvel muayyeniyet yaratmaya çalışıyordum .
667,Dedim tane tane olmuş benlerin / Dedi zülfüm değdi tel yarasıdır,Dedim tane_tane olmuş benlerin / Dedi zülfüm değdi tel yarasıdır
672,Senin gibisini pilotluğa almayanların aklına şaşayım .,Senin gibisini pilotluğa almayanların aklına_şaşayım .
674,"O kadar çok değişiklik , o kadar büyük bir eskiden ayrılık ve benzeyişsizlik var .","O_kadar çok değişiklik , o_kadar büyük bir eskiden ayrılık ve benzeyişsizlik var ."
677,"Eskisinden daha berbat , iyileşmek ne gezer .","Eskisinden daha berbat , iyileşmek ne_gezer ."
678,Sanatta politika ne kadar berbatsa politikada sanat da o kadar iğrenç olur .,Sanatta politika ne_kadar berbatsa politikada sanat da o_kadar iğrenç olur .
688,"Sağ kolumdaki bir lif , o zaman bertilip kopmuş olmalıydı .","Sağ kolumdaki bir lif , o_zaman bertilip kopmuş olmalıydı ."
692,"Besleme kız utandı , bütün kanı yüzüne çıktı , hemen ayağa kalktı .","Besleme_kız utandı , bütün kanı yüzüne çıktı , hemen ayağa kalktı ."
693,Bir ayağıyla koltukları itmeyi sürdürürken bir yandan da oğlunun beslenme çantasını hazırlıyordu .,Bir ayağıyla koltukları itmeyi sürdürürken bir_yandan da oğlunun beslenme çantasını hazırlıyordu .
700,Beş vakit namazına beş daha katar .,Beş_vakit namazına beş daha katar .
711,"Bir beygir gücü o , 736 kilovata eşittir .","Bir beygir_gücü o , 736 kilovata eşittir ."
715,Bir beyin kanaması ile ölen Cenap Şehabettin .,Bir beyin_kanaması ile ölen Cenap Şehabettin .
717,Beylikten alacaklı olmak .,Beylikten alacaklı_olmak .
720,Amerikan bezi .,Amerikan_bezi .
722,"Kitabı bir süs kabul etmek , kültür görgüsüzlüğünün en somut örneğini oluşturur .","Kitabı bir süs kabul_etmek , kültür görgüsüzlüğünün en somut örneğini oluşturur ."
733,Bu yazarın bir de Fransızca kitabını almıştım ama sıkılmış bırakıvermiştim .,Bu yazarın bir_de Fransızca kitabını almıştım ama sıkılmış bırakıvermiştim .
746,Kim bilir saat kaçlara kadar aç ve biilaç duracağız .,Kim_bilir saat kaçlara kadar aç ve biilaç duracağız .
754,Onları merakla seyreden bir kalabalık önünde bilek güreşi yapıyorlardı .,Onları merakla seyreden bir kalabalık önünde bilek_güreşi yapıyorlardı .
761,Doğa bilgisi .,Doğa_bilgisi .
764,Davranışlarını bir an önce bilincinin denetiminden kurtarmak için kadehleri birer dikişte boşaltmaya mı başladı ?,Davranışlarını bir_an_önce bilincinin denetiminden kurtarmak için kadehleri birer dikişte boşaltmaya mı başladı ?
780,Annemin dul maaşından ayrılmış bütçeme bir de posta masrafı binmişti her hafta .,Annemin dul maaşından ayrılmış bütçeme bir_de posta masrafı binmişti her hafta .
784,Bir âlem bu toprakların üstü .,Bir_âlem bu toprakların üstü .
786,Fakat bu tavrını bir parça arsızca buluyordu .,Fakat bu tavrını bir_parça arsızca buluyordu .
788,"Peki , bu aynada beliren kehanetlerin bir bir gerçekleşmesine ne diyeceksin ?","Peki , bu aynada beliren kehanetlerin bir_bir gerçekleşmesine ne diyeceksin ?"
794,"Kondulardan tek tek başlar uzandı , insanlar birer ikişer konduların önünde toplandı .","Kondulardan tek_tek başlar uzandı , insanlar birer_ikişer konduların önünde toplandı ."
796,Ve bir hamlede üçüncü bardaktan çıkıvermişti boncuk .,Ve bir_hamlede üçüncü bardaktan çıkıvermişti boncuk .
800,Birincisi ne kadar mağrursa öbürü o kadar yılışık .,Birincisi ne_kadar mağrursa öbürü o_kadar yılışık .
801,Bütün grubu hiç olmazsa ilk ineceğimiz iskeleye kadar birincide götürmek istemişti .,Bütün grubu hiç_olmazsa ilk ineceğimiz iskeleye kadar birincide götürmek istemişti .
803,Şiirlerinin birkaçı erişilmez derecede güzel belki de şair olmaya özenmediği için eşsiz incilerdir .,Şiirlerinin birkaçı erişilmez derecede güzel belki_de şair olmaya özenmediği için eşsiz incilerdir .
804,"O gün , hemen bir koşu seracılara gittim , kocaman bir yasemin aldım , eve getirdim .","O gün , hemen bir_koşu seracılara gittim , kocaman bir yasemin aldım , eve getirdim ."
808,Bu ayıbı işleyenlerle birlik olmayı bir türlü kibrime yediremiyorum .,Bu ayıbı işleyenlerle birlik olmayı bir_türlü kibrime yediremiyorum .
809,"O , dünyanın bir numaralı oyuncusudur .","O , dünyanın bir_numaralı oyuncusudur ."
810,"Hanımlar gene bir örnek yeldirme giymişler , bir örnek başörtü örtmüşler .","Hanımlar gene bir_örnek yeldirme giymişler , bir_örnek başörtü örtmüşler ."
811,"Hastalıktan ötürü engelliler bir yana , hep susan bir insan tasarlamaya yetmiyor hayal gücüm .","Hastalıktan ötürü engelliler bir_yana , hep susan bir insan tasarlamaya yetmiyor hayal gücüm ."
812,"Herkes sofraya oturmuş , bir yandan çorbalarını kaşıklayıp bir yandan da haberleri seyrediyordu .","Herkes sofraya oturmuş , bir_yandan çorbalarını kaşıklayıp bir_yandan da haberleri seyrediyordu ."
813,Gelip gidişleri giderek seyreldi ve bir zaman sonra tümüyle yitti Ercan .,Gelip gidişleri giderek seyreldi ve bir_zaman sonra tümüyle yitti Ercan .
817,"Yetişir koştuğum aşkın peşi sıra / Bitirdi beni bu içki , bu kumar","Yetişir koştuğum aşkın peşi_sıra / Bitirdi beni bu içki , bu kumar"
825,Batı Bloku .,Batı_Bloku .
827,"Ben de karşısında ne yapacağımı bilmez , şuursuz bir esir gibi şaşkın şaşkın bocaladım durdum .","Ben de karşısında ne yapacağımı bilmez , şuursuz bir esir gibi şaşkın_şaşkın bocaladım durdum ."
832,"Otuz bu kadar devlet , hiç durmadan dinlenmeden boğazlaşabilirler miydi ?","Otuz bu_kadar devlet , hiç durmadan dinlenmeden boğazlaşabilirler miydi ?"
835,Koyu yeşil renk odayı boğdu .,Koyu_yeşil renk odayı boğdu .
837,"Zaten durumun vahametini sezen müdürle hoca , işi gürültüye boğmak için Atatürk'e müfredat programına dair bir şeyler anlatmaya başladılar .","Zaten durumun vahametini sezen müdürle hoca , işi gürültüye_boğmak için Atatürk'e müfredat programına dair bir şeyler anlatmaya başladılar ."
839,Lenf boğumları .,Lenf_boğumları .
