sentence,gold_mwe
"banyosuz , duşlu , avuç içi gibi bir aralıktı hamam .",bir ara
"banyosuz , duşlu , avuç içi gibi bir aralıktı hamam .",bir aralık
"ortalığı saran barut rengi aydınlık açıldı , açıldı , kül rengine döndü .",kül rengi
"bana , basın kartım vasıtasıyla birinci mevki bir bilet alındı .",basın kartı
i̇stanbul'un başıboş köpekleri rahatça ömür sürmektedirler .,ömür sürmek
boyun atkısını kulaklarına dolayarak bekâr odasının yolunu tutacak .,bekâr odası
"bir keresinde bekleme salonunda sırasını bekliyor , içeriden şişe patlar gibi kahkaha !",bir kere
"bir keresinde bekleme salonunda sırasını bekliyor , içeriden şişe patlar gibi kahkaha !",bekleme salonu
belediye nikâhını daha sonra yapmak üzere imam nikâhını kıydılar .,imam nikâhı
belediye nikâhını daha sonra yapmak üzere imam nikâhını kıydılar .,belediye nikâhı
"sadece kıymetli bir idare adamı vasıflarına malik bir belediye reisinin , bir şehri güzelleştirebileceğini umar mısınız ?",belediye reisi
geçtik hepimiz dörtnala cennet kapısından / gördük ebedî ; cetleri bir anda yakından !,bir an
bir ayağıyla koltukları itmeyi sürdürürken bir yandan da oğlunun beslenme çantasını hazırlıyordu .,beslenme çantası
bıçağı sürte sürte ipin uzunca bir parçasını kesti .,bir parça
sonra ayağını yandaki su borusunun bileziğine koydu .,su borusu
davranışlarını bir an önce bilincinin denetiminden kurtarmak için kadehleri birer dikişte boşaltmaya mı başladı ?,bir an
cumhuriyet döneminde böyle bir bilinçsizliğin asla yaşanamayacağı konusunda görüş birliğine vardılar .,görüş birliği
basit cümleleri bile anlamak güç olurken istihza bir bilmeceye döner .,basit cümle
damar damara binmiş .,damar damar
"o , dünyanın bir numaralı oyuncusudur .",bir numara
"hastalıktan ötürü engelliler bir yana , hep susan bir insan tasarlamaya yetmiyor hayal gücüm .",hayal gücü
"herkes sofraya oturmuş , bir yandan çorbalarını kaşıklayıp bir yandan da haberleri seyrediyordu .",bir yanda
bu acı çıngırak sesi galiba bodrum katından geldi .,bodrum katı
"hayat zor anne , kaç boğazız evde , ağabeyim hangi birimize yetişsin .",hangi biri
hizmet erim sefer tasıyla akşam yemeğini getirdi .,hizmet eri
hizmet erim sefer tasıyla akşam yemeğini getirdi .,sefer tası
"zaten durumun vahametini sezen müdürle hoca , işi gürültüye boğmak için atatürk'e müfredat programına dair bir şeyler anlatmaya başladılar .",müfredat programı
şehre giren kuvvetlerimiz iki süvari bölüğünden ibaretmiş .,süvari bölüğü
o gün edebiyat tarihinde hecenin beş şairi diye bir bölüm açanların üçü orada tanıştılar .,edebiyat tarihi
hamsi buğulaması .,hamsi buğulama
gemide bulaşık yıkamak kolay iş değildi .,iş değil
beş yaşımdan başlayarak buradan eve güğümlerle ben de su taşıdım .,su taşı
koskoca ve bomboş salonda o türlü burun burunayız ki mutlaka ya konuşmamız yahut sille tokat birbirimize girmemiz lazım .,burun buruna
"boyutları da çok farklı , ince uzun bir dergi .",bir de
arapça bir bükünlü dildir .,bükünlü dil
gönlümü yararak bütün bütüne / benzedim sararmış yaban gülüne,yaban gülü
gönlümü yararak bütün bütüne / benzedim sararmış yaban gülüne,bütün bütün
köşkün tahta parmaklıkları önünde rahatsız etmekten çekinerek hatır soruyorlar .,rahatsız etmek
"bak , bu ev , bizim vaktiyle alt katında oturduğumuz cakasız köşk .",alt kat
"bir kenara bırakılıvermek , bir camit eşya gibi ayak ucuyla itilmek ne korkunç .",ayak ucu
bu çanların cangıl cungulu insanın başını ağrıtıyor .,cangıl cungul
"genç kadın , can sıkıntısıyla yüzünü ekşitti .",can sıkıntısı
pazar akşamı bizim can sohbetine sizi de bekleyeceğiz .,can sohbeti
caz takımının önünden güç bela geçebildiler .,caz takımı
"melodram ile vodvilin temelde eş yapıda , zorlama türler olduğunu yazar durmadan .",eş yapı
"hayatımız , gönlümüzde kâh cennetleşen ve kâh cehennemleşen bir âlemde geçer .",bir âlem
"i̇ki arkadaş , yüzlerce yıllık tonozların altında eğirmenlerini çevirirlerken her günkü ahenklerine giriştiler .",her gün
"onu bu kadar candan alkışlayan i̇stanbul , iki gün sonra çok derin bir üzüntüyle cenaze alayını izledi .",cenaze alayı
köye ilk cep fenerini o sokmuş .,cep feneri
"atılmış portakal kabukları üstüne üşüşen şiş karınlı çocuklar , ekmek artığı kemiren iskelet kadınlar , ilk defa burada bize cephe gerisinin ızdırabını haber verdi .",cephe gerisi
"atılmış portakal kabukları üstüne üşüşen şiş karınlı çocuklar , ekmek artığı kemiren iskelet kadınlar , ilk defa burada bize cephe gerisinin ızdırabını haber verdi .",haber ver
cevizli tel kadayıfına gönül verene de rastlanıyor .,tel kadayıf
"dünyanın bir ucundan cezbeli , keramet ve sır sahibi bir derviş çıkageliyor .",dünyanın bir ucu
"cezvedeki süt çoktan taşmış , gaz ocağının her tarafına köpük köpük yayılırken ateşi de söndürmüştü .",gaz ocağı
"bir elinde cımbız , bir elinde ayna / umurunda mı dünya ?",bir el
"ciğerparesi , bir tanesi içeride alevler içinde can verirken fasarya buna seyirci mi kalacak ?",bir tane
"benim öyle cinaslı , bilmem neli lakırtılarla başım hoş değildir .",bilmem ne
türkiye cumhuriyeti'nin kurucusu atatürk'tür .,türkiye cumhuriyeti
caminin cümle kapısının hemen sol yanında eski bir çeşme vardı .,cümle kapısı
dama tahtasında altmış dört hane vardır .,dama tahtası
"an olur , çağıltılı bir dere kenarında saz / kuş cıvıltıları",bir de
"kaptan , gemiyi ağzına kadar doldurmuş , gemi yan yatmış , bir deniz çalkantısıyla alabora olmuş .",bir de
"bet beniz solmuş , gözler büyümüş , kansız dudaklar aralık , alt üst dişler çalpara gibi birbirine vuruyor .",üst diş
o gün bugündür çamaşır makinesi durmaksızın çalışıyor .,gün bugün
"i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz karasıydılar .",yüz karası
karısı bir deniz çarkçı subayının kızıdır .,bir de
küçük hizmetçi masanın öbür ucundan yarım sağa çark ederek elektrik düğmesine doğru döndü .,elektrik düğmesi
"i̇htiyarın üç aylıkları aldığı günler çıkagelir , allem edip kallem edip zavallının yarı maaşını çarpar kaçar .",üç aylık
sağ eliyle çatal sakalının birini bırakıp birini tutuyordu .,çatal sakal
tavan arasını çocuklar için iki odalı bir çatı katı yapmıştır .,tavan arası
"ulu denizin üstünü çatışan , şimşeklenen kara bulutlar sardı .",kara bulut
i̇ki denizci kara bulutlar çatlağından güneş ışığının güldüğünü sandılar .,kara bulut
bir zurna gibi duyulan çatlak sesiyle âlemi çekiştirir .,çatlak ses
kırık tahtaları bir solukta yan yana çattılar .,yan yan
"çat pat i̇ngilizcesi olduğundan , onu tutmuş , harbiye nezaretiyle işgal karargâhı arasında irtibat zabiti yapmışlardı .",harbiye nezareti
"bayan zengindir , gençtir de gelgelelim çehre züğürdüdür .",çehre züğürdü
saldırmak onun içgüdülerinden biridir ve yöntemi çekiçle felsefe yapmaktır .,felsefe yapmak
sekiz kişilik bir ince sazla kadınlardan beş kişilik bir hanende ve çengi takımı vardı .,ince saz
"hâlbuki ayrılık acısına ve ayrılık seslerine , bildik çıkmaklığım gerekti .",bildik çıkmak
. yayvan bir incir ağacı ile çıkrıksız bir kuyu ve duvar kalıntıları kararmış olan yangın yerine bakıyordu .,yangın yeri
"bağ bozumundan sonra kütüklerde kalan tek taneli , güneşten ısınmış üzüm çıngılının tadını hiçbir salkımda bulamazsınız .",bağ bozumu
"beğeniyor musun şu yaptıklarını , ne olacak şimdi , ne yapacağız diye çırpınıyordu .",ne o
"kocası i̇talyan , karısı sırbistanlı olan bu çift ile araları pek iyiydi , ailece de görüşüyorlardı .",pek iyi
baş başa uzandık seninle ıslak / çimenlerine yaz bahçelerinin,baş baş
sarımtırak kirpiklerinin arasından bana bakan gözleri çivit mavisiydi .,çivit mavisi
sarımtırak kirpiklerinin arasından bana bakan gözleri çivit mavisiydi .,bana bak
"manasız çocukluk , tatsız gençlik , olgunluk çağına hazırlanmaktan başka nedir ?",olgunluk çağı
elinde bir çömlek sadeyağla gelip pazar yerine oturduğu görülmüş .,pazar yeri
"yıllarca beklenen bir yolcunun gecikmesinden doğan sıkıntı , ağrılarıyla içime çöreklendi .",bir yol
"ayrıca olasılıkları azaltmak da , bir anlamda çözüme yaklaşmak demektir .",bir an
"gözümün önünde loş türbelerin dinginliğine , gönül rahatlığına sinmiş yeşil çuhalı sandukalar duruyor .",gönül rahatlığı
"kusura bakmayınız , dağdan inmedir o , ne yol bilir ne yordam !",dağdan inme
"yemeği , selamlık dairesinin üst katındaki yemek salonunda yediler .",üst kat
"yemeği , selamlık dairesinin üst katındaki yemek salonunda yediler .",yemek salonu
"kendine geldiğinde , ensesinde müthiş bir ağrı vardı .",kendine gel
limanın dalgakıranı ucundaki deniz fenerine doğru ilerledim .,deniz feneri
orada da haksız damgalar altında kalırsan ne olacak ?,ne o
mamafih hiç kimseye de darılmaya hakkım yoktu .,hiç kimse
karşılıklı bilmece sormaya dayanan seyirlik oyunlar da vardır .,seyirlik oyun
"nikâh memurunun masasında , biraz sonra imzalayacakları defter vardı .",nikâh memuru
"o güne kadar görülmemiş türden , değişik bir dergiydi .",bir de
yönetim kurulunda değişiklik oldu .,yönetim kurulu
salonun badanası deli alacasına dönmüş .,deli alacası
"sürtünme , kinetik enerjinin bir bölümünü ısıl enerjiye çevirdiğinden motorun verimini azaltır .",kinetik enerji
"bir gün kardeşim ile sandalda dolaşırken , kayıkçı deniz aynasını koydu .",deniz aynası
dik açılar doksan derecedir .,dik açı
"aynı sevgili için hasret çeken iki rakip gibi şimdi , yalnız dert ortağıydılar .",dert ortağı
deve kolundan neferler geldi .,deve kolu
"kimileri bunun , başımıza konmuş bir devlet kuşu olduğunu söylüyorlardı .",bir de
"dört , beş ay sürecek bir devriâlem seyahatine çıkıyorduk .",bir de
türk hava yollarının dış hatlarda çalışan görevlileri .,dış hat
dış ticaret açığı o devirde ne kadardı kim bilir ?,dış ticaret
dış ticaret açığı o devirde ne kadardı kim bilir ?,ne kadar
"rusya , fransa , i̇ngiltere ve avusturya ile o didintiler olmasaydı eserini daha az bir zamanda tarsin ederek halk karşısında da muvaffak olacaktı .",bir zaman
"anlaşmazlıktan , didişmekten , küçümsemekten , düşman olmaktan hoşlanmadıklarına inanıyordu .",düşman olmak
bütün dik açılar doksan derecedir .,dik açı
gözü arabanın dikiz aynasına ilişince yeniden sol gerisinde o siyah taksiyi seçer gibi oluyor .,dikiz aynası
pil ve dinamo birer elektrik üretecidir .,elektrik üreteci
"bu taklitçi aydın ve sanatçılar , ister istemez , halka yabancılaştılar , onunla her türlü dirsek temasını yitirdiler .",dirsek teması
gayet ilkel bir dokuma tezgâhında harıl harıl çalışan iki işçi gördüm .,dokuma tezgâhı
bir elektrik zilinin düğmesine dokunduk .,bir el
bir elektrik zilinin düğmesine dokunduk .,elektrik zili
"kıran bey , şimdi bacaklarına dolak sarmış , siyah poturlu , keçe külahlı , göğsünde fişeklikler ve elinde mavzer , tığ gibi bir delikanlıydı .",bir de
"kırk türlü kuru yemişle donanmış masanın ortasına dikilmiş bir ince , ufak mum vardı .",kuru yemiş
bu mağazaya girdiğimiz vakit güler yüzlü ve çok dostane kabul edildik .,güler yüz
"yaşayan , var olan her şey eskiyip dökülecek .",var ol
her işten sıkıldı ama lunaparkların işlemeli dönme dolaplarına bakmaktan hiç sıkılmadı .,dönme dolap
bebek'teki evinde bir dul kız kardeşiyle yalnız yaşar .,kız kardeş
"karabaş , bostan duvarının gölgesinde öğle uykusuna serilir .",öğle uykusu
"hakiki bedbahtlar , sefaletlerini birdenbire açığa vurmaktan utanç duyarlar .",açığa vurmak
kalkan balığının düğmeleri .,kalkan balığı
ardışık iki düğüm arası bir yarım dalga uzunluğudur .,dalga uzunluğu
"geminin arkasına gittim , dümen suyunun bir yılan gibi uzayıp gittiğini gördüm .",dümen suyu
"deri gibi sert , yayvan tandır ekmeğine alışmıştı ; yer sofrasında bunu kaşık , çatal yerine dürümleyerek kullanmayı beceriyordu .",tandır ekmeği
"deri gibi sert , yayvan tandır ekmeğine alışmıştı ; yer sofrasında bunu kaşık , çatal yerine dürümleyerek kullanmayı beceriyordu .",yer sofrası
"çoktandır , ipsiz sapsızlarla düşe kalka onların dilini kapmışım .",ipsiz sapsız
atalarımızın ar ve hayâ perdesi yırtılmak diye pek düşündürücü bir tabirleri vardır .,hayâ perdesi yırtılmak
bakanlar kurulunu düşürmek .,bakanlar kurulu
"öğleden sonra nüfus kâğıdını getir , kaydını düzeltelim .",nüfus kâğıdı
yaylanın kızları düzüm düzümdür / bir komşu kızı var ki iki gözümdür,iki gözüm
yaylanın kızları düzüm düzümdür / bir komşu kızı var ki iki gözümdür,düzüm düzüm
edebiyat tarihindeyse onun adına hiçbir türlü rastlayamazsınız .,edebiyat tarihi
"bir yandan ayrıntılara eğilirken , bir yandan da bunları alaylı bir süzgeçten geçirir .",bir yanda
senin gibi ekâbir bir adam bu tür haberlerin peşinde koşturmaz .,bir bir
en sevdiği ve şifalı saydığı meyve de ekşi elmaydı .,ekşi elma
yeni tiyatro binası projesini el birliğiyle şimdilik bir tarafa bıraktırdık .,el birliği
"bir ilk mektepte , emeklilik çağına kadar hocalık etti .",emeklilik çağı
bir gün yengem emir eriyle bir tencere yemek gönderdi .,emir eri
"hastalıktan ötürü engelliler bir yana , hep susan bir insan tasarlamaya yetmiyor hayal gücüm .",hayal gücü
"sonra ense köküme , benim ense köküme kılıç bir iniverecek .",ense kökü
"o günkü birdirbirler , köşe kapmacalar , esir almacalar çocukça olmakla beraber herhâlde daha erkekçeydi .",köşe kapmaca
ali kediyi çok sever cümlesindeki sever fiili etken fiildir .,etken fiil
bunları kimi kez öteki türlerden özellikle toplumsal ve evcil dramlardan ayırmak kolay değildir .,kolay değil
"bu salih araboğlu , tefecilikten , çalıp çırpmaktan para yapmış , uğursuz heriflerden biridir .",çalıp çırpmak
"seni fakir , soluk bir dekor içinde görmek istemem .",bir de
"fasulye pilakileri , piyazlar , köfteler , salçalı makarnalar , menemenler , patlıcan kızartmaları , neler de neler pişmedi .",salçalı makarna
az ilerideki burunda bütün heybetiyle bir deniz feneri görünüyordu .,bir de
i̇nsan tehlike karşısında ancak ana diliyle feryat edebiliyor .,ana dili
i̇nsan tehlike karşısında ancak ana diliyle feryat edebiliyor .,ana dil
"ölümsüzlerden fışkıran ışık , karanlıkları bir anda dağıttı .",bir an
her zamanki şakacılığı ve filozofça sözleri ile evin içindeki bu gergin havayı yatıştırmasını çok iyi becerirdi .,her zaman
"gülistan ne kadar şık , belinde fiyonk olan eflatun bir elbise giymiş .",bir el
"bir övüncü sakalıysa bir başka övüncü de sıhhati , fizik gücüydü .",fizik gücü
ateşin üzerinde tüm malzemeler hep bir ağızdan fokurduyordu ama her biri kendi dilinde .,bir ağızdan
muşamba hâline gelmiş katı frenk gömleğimle o cendere gibi pantolonu bir dakika daha taşımaya tahammülüm kalmamıştı .,frenk gömleği
"hemşire tutmak fuzuli masraf , bizler ne güne duruyoruz ?",ne güne duruyor
emir süleyman ancak o zaman gaflet uykusundan uyanabilmişti .,gaflet uykusu
o mecmuadaki gazelleri yüksek sesle okurken eski şiir lehçemizdeki beliğ ve rindane edaların zevkine varıyorum .,yüksek ses
radyum gazışıl bir elementtir .,bir el
"cezvedeki süt çoktan taşmış , gaz ocağının her tarafına köpük köpük yayılırken ateşi de söndürmüştü .",gaz ocağı
o rahmetli katırın yerine ben öbür dünyayı boylardım .,öbür dünya
"viyana'da en büyük caddelerde gece uçuşuna çıkan manga manga , bölük bölük kadınlara rastladık .",gece uçuşu
"sağ olsun , akşamları evine biraz geççe gelir .",sağ ol
bütün günüm seni takip etmekle geçti .,takip etmek
"el yordamıyla ilerlemeyi sürdürürken , sanki karanlıkta bir gedik açılıyor , bir yerlerden içeriye ışık vuruyor .",el yordamı
eski çağlardan birçok anıt çağımıza kadar gelmiştir .,eski çağ
kadın dizginleri çekmek istedi fakat hırçın hayvan sert bir boyun hareketi ile gemini kurtardı .,bir boy
"filikada hamlada oturan gemici , bir eliyle rıhtımın kenarına tutunmuş .",bir el
"bunlardan ne elde edeceğim , deyip hemen umum müdürün karşısına bir çıkışım var .",umum müdür
"kişiliklerinin tüm girdisi çıktısı , inişi çıkışı , özü özeti orada toplanır .",girdisi çıktı
dil bilimine giriş .,dil bilim
mektubu senden gizli posta kutusuna attım .,posta kutusu
paris'te uzun yıllar yaşamalarına karşın ülkeleriyle olan göbek bağını hiç mi hiç gevşetmemiş gençler var .,göbek bağı
"orta boylu , geniş göğüslü ve hafif göbekliydi .",orta boy
obalarının hâlâ arkası kesilmeyen göçleri devam etmekteydi .,devam etmek
"gömme banyonun içinden bakınca lavabonun üstündeki aynada , başını , omuzlarını görebiliyordu .",gömme banyo
çok muhteşem bir cenaze töreniyle gömüldü .,cenaze töreni
"onun romanları düş gücüne değil , gözlem gücüne dayanır .",düş gücü
bence sen bu gözlemcilik işini bırakıp bir tavuk çiftliği kurmalısın .,bu gözle
bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .,bir de
başka çare kalmadığını anladı ve kendisini üç ankaralı kadının bu sıkı göz yoklamasına bıraktı .,göz yoklaması
kendi kendimi gurbet eline sürmekten maksadım nedir ?,gurbet eli
her misafire gösterdiği bir güler yüzle içeriye girdi .,güler yüz
"hep ona doğru bakar , göz göze geldiklerinde gülümserdi .",göz göz
bakanlar kurulunun programı türkiye büyük millet meclisinde okunur ve güvenoyuna başvurulur .,millet meclisi
bakanlar kurulunun programı türkiye büyük millet meclisinde okunur ve güvenoyuna başvurulur .,bakanlar kurulu
"ateşoğlu , bir yandan da gözlerini deniz yüzüne gelen ve yüzde suyu fokurdatan hava habbelerinden ayırmıyordu .",bir yanda
"herkes sofraya oturmuş , bir yandan çorbalarını kaşıklayıp bir yandan da haberleri seyrediyordu .",bir yanda
"gece , hafakanlar içinde , vaziyeti unutup da elektrik düğmesini çevirdiğim zaman , korkunç bir ' tık ' sedası duydum .",elektrik düğmesi
müslüman araplar arasında bir arap halifeliği hükûmeti peşinde olanlar vardı .,bir ara
düştüğümüz bu selin önünden kurtulup karaya çıkmak bir ham hayaldir .,ham hayal
"filikada hamlada oturan gemici , bir eliyle rıhtımın kenarına tutunmuş .",bir el
hangi birini sayayım ?,hangi biri
bir delilik yaptı ve otobüsteki kız uğruna arzu'yu harcadı .,bir de
bir har hurdur gidiyor .,har hur
köyün harman yerinde anlatımı kaleme gelmez bir çalışma var .,harman yeri
kumral bıyıkları ve ölçülü yüz hatlarıyla her zamanki kadar yakışıklıydı .,her zaman
"aslında , bu hayat pahalılığında , ona hak ettiği parayı veremediğimizi biliyoruz .",hayat pahalılığı
"onun , alçak gönüllülük ve hayırhahlık taşan yüzünü görünce hayatın bir çıkar yarışması olmadığına iman getirirdiniz .",alçak gönüllü
"hayvani protein alamayan yerlerde , bu yol ile fakir fukaraya et yedirebilmek imkânı hazırlanmıştır .",fakir fukara
ömrünün en öfkeli veya buhranlı anlarında bile yaşamak hazzının parıltısı gözlerinden eksik olmazdı .,eksik olma
"hoca , sabahleyin bir bahçıvanın ikram ettiği turp salatasını henüz sindirememişti .",turp salatası
kanatlı hercai menekşeler gibi kelebekler ekinlerin sükûnunda uçuşurken bu kitapçıktan birkaç sayfa okunsun .,hercai menekşe
herhangi biri gelsin .,herhangi bir
hoyratlık ve şiddet ortalıkta kol gezmektedir .,kol gezmek
"artık şimdi öyle düşkün bir babayım ki / yüreğim hun , sayhalarım boğuk boğuktur",boğuk boğuk
"en saçma görünen batıl inançlar dahi insanın bir duygusunu , bir davranışını düzenleme gayesini güder .",batıl inanç
hücrenin kapısında delikten bana bakan ere bir pusula uzatıp kumandana götürmesini istiyorum .,bana bak
"vatan için , hürriyet için birbirine verdikleri şeref sözünü tutacaklar , gerekirse bu uğurda silahlarını da kullanacaklar .",şeref sözü
fakat bir kadınla çene çalmakta olan ırgatbaşı hiç oralı olmuyordu .,çene çalmak
i̇ç kapının perdesi yanlara doğru açıldı .,doğru açı
sığır tenyası bir iç asalaktır .,iç asalak
"belli bir seviye çizgisinde düşünmeye alışık beyinler , ikide bir düz ayak , yavan konuklarla durmadan işgal edilirse iç dengeleri bozulur .",iç denge
i̇spanya iç savaşı .,iç savaş
samimiyetsizlik ve gülünçlüğün bu kadarına pes !,bu kadar
"başkalarını dertleriyle üzmekten , taşkınlıklarıyla rahatsız etmekten kaçınır .",rahatsız etmek
"yaz tarifesi , kış tarifesi diye bir ikilik de gerek değildir .",bir iki
"kız kardeşim ikindiüzeri bana sıcak , limonlu bir çorba içirdi .",kız kardeş
"korkuya , hiç değilse çekintiye benzeyen bir şey de getiriyordu .",hiç de
"korkuya , hiç değilse çekintiye benzeyen bir şey de getiriyordu .",hiç değil
i̇ktisadi düşünceler hâlâ devlet adamlarımızın resmî beyanlarında yer bulmaktadır .,yer bulmak
"avrupa görmüş , incelmiş bir delikanlıya kızların nasıl içi gitmesin .",bir de
"altın çizgili , yemyeşil ipek kravatı ne olursa olsun almalıydı .",ne o
"altın çizgili , yemyeşil ipek kravatı ne olursa olsun almalıydı .",ne olur
"çoktandır , ipsiz sapsızlarla düşe kalka onların dilini kapmışım .",ipsiz sapsız
kapıcının karısının ispirto ocağında kızarttığı patlıcanları yiyorduk .,ispirto ocağı
"böyle bir değerlendirme , yerel seçimlerin halk istencini daha iyi gösterdiği sonucunu ortaya çıkarır .",bir de
"devri nüfuz tüccarlığı yüzünden alabildiğine soysuzlaşmış , sonunda tam bir despotluk rejimi olmuştur .",bir de
"uzunca bir arabaya lekeli şilteler , kirli yastıklar yığılıyordu , istif tekmil olmuştu .",bir ara
"uzunca bir arabaya lekeli şilteler , kirli yastıklar yığılıyordu , istif tekmil olmuştu .",bir araba
bir ara yıldız'ın istihbarat servisinde bulunduğu bile söylenirdi .,istihbarat servisi
i̇şte bu iki adam bir aralık göz göze geldiler .,bir ara
i̇şte bu iki adam bir aralık göz göze geldiler .,göz göz
"bir borcun sönümü için her yıl verilmesi gereken taksit , vade uzunluğuna , ana borca ve faiz fiyatına bağlıdır .",faiz fiyatı
"bazı kadın yazarlarsa her şeyi göze alıp itirafçı , iç dünyalarını açıklayıcı bir yol seçerler .",iç dünya
"i̇vedi yanıma yaklaştı , mavi gözleri ışıl ışıldı .",ışıl ışıl
"koşturduğu , gideceği yere bir an önce varmak için ivedilendiği belli oluyordu .",bir an
"i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz karasıydılar .",yüz karası
"kaba sofular bir zamanlar uygarlık düşmanlığını , yabancı dil düşmanlığı ile birleştirmişlerdi .",bir zaman
"kaba sofular bir zamanlar uygarlık düşmanlığını , yabancı dil düşmanlığı ile birleştirmişlerdi .",kaba sofu
"evime kaçmaklığım lazım gelirken , zekeriya sofrasının esrarengizliğini öğrenmek cazibesine kapıldım .",zekeriya sofrası
