sentence_text,gold_tokens,pred_tokens,false_positives
"masa başında hizmet ederken erkeklik falan yok , kamarotsun , kamarot erkeklik taslayacak değil , işini bilecek , o kadar .","masa_başında hizmet ederken erkeklik falan yok , kamarotsun , kamarot erkeklik taslayacak değil , işini bilecek , o kadar .","masa_başında hizmet ederken erkeklik falan yok , kamarotsun , kamarot erkeklik taslayacak değil , işini bilecek , o_kadar .",o_kadar
bu genç bir deveydi .,bu genç bir deveydi .,bu genç bir_deveydi .,bir_deveydi
beni öyle bir dinlenme kampına alsınlar ki kapıdan girerken kimlik kartımla birlikte kişiliğimi de kapıda bırakayım .,beni öyle bir dinlenme_kampına alsınlar ki kapıdan girerken kimlik kartımla birlikte kişiliğimi de kapıda bırakayım .,beni öyle bir dinlenme_kampına alsınlar ki kapıdan girerken kimlik_kartımla birlikte kişiliğimi de kapıda bırakayım .,kimlik_kartımla
beni öyle bir dinlenme kampına alsınlar ki kapıdan girerken kimlik kartımla birlikte kişiliğimi de kapıda bırakayım .,beni öyle bir dinlenme kampına alsınlar ki kapıdan girerken kimlik_kartımla birlikte kişiliğimi de kapıda bırakayım .,beni öyle bir dinlenme_kampına alsınlar ki kapıdan girerken kimlik_kartımla birlikte kişiliğimi de kapıda bırakayım .,dinlenme_kampına
"çantasından çok sayfalı , maroken kaplı küçük bir defter çıkardı .","çantasından çok sayfalı , maroken kaplı küçük bir defter çıkardı .","çantasından çok sayfalı , maroken kaplı küçük bir_defter çıkardı .",bir_defter
bu kara ağızlıların yüzde yüz sahteci ve yalancı olduklarını bilir .,bu kara_ağızlıların yüzde yüz sahteci ve yalancı olduklarını bilir .,bu kara_ağızlıların yüzde_yüz sahteci ve yalancı olduklarını bilir .,yüzde_yüz
ayın aksi içinden bir karartı geçiyordu .,ayın aksi içinden bir karartı geçiyordu .,ayın aksi içinden bir_karartı geçiyordu .,bir_karartı
sırtında i̇ngiliz kumaşından karyağdılı mükemmel bir elbise .,sırtında i̇ngiliz kumaşından karyağdılı mükemmel bir elbise .,sırtında i ngiliz kumaşından karyağdılı mükemmel bir_elbise .,bir_elbise
"biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek zamanlara doğru yollarımızı tıkayan aşılmaz setleri yıkamazdık .","biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek_zamanlara doğru yollarımızı tıkayan aşılmaz setleri yıkamazdık .","biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek_zamanlara doğru_yollarımızı tıkayan aşılmaz setleri yıkamazdık .",doğru_yollarımızı
"biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek zamanlara doğru yollarımızı tıkayan aşılmaz setleri yıkamazdık .","biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek zamanlara doğru_yollarımızı tıkayan aşılmaz setleri yıkamazdık .","biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek_zamanlara doğru_yollarımızı tıkayan aşılmaz setleri yıkamazdık .",gelecek_zamanlara
irmak aşağıda bir yandan kayalığın üzerine şarıl şarıl boşanıyor .,irmak aşağıda bir_yandan kayalığın üzerine şarıl şarıl boşanıyor .,irmak aşağıda bir_yandan kayalığın üzerine şarıl_şarıl boşanıyor .,şarıl_şarıl
"ben büyüyünce uzun boylu , ince endamlı , kaytan bıyıklı bir delikanlı olmak ve hep öyle kalmak emelindeydim .","ben büyüyünce uzun boylu , ince endamlı , kaytan bıyıklı bir delikanlı olmak ve hep öyle kalmak emelindeydim .","ben büyüyünce uzun_boylu , ince endamlı , kaytan_bıyıklı bir_delikanlı olmak ve hep öyle kalmak emelindeydim .","kaytan_bıyıklı, bir_delikanlı, uzun_boylu"
kazasız bir yolculuk .,kazasız bir yolculuk .,kazasız bir_yolculuk .,bir_yolculuk
oracıkta kelimesiz bir anlaşma ile ana oğul birbirimizin kolları arasına yığıldık .,oracıkta kelimesiz bir anlaşma ile ana oğul birbirimizin kolları arasına yığıldık .,oracıkta kelimesiz bir_anlaşma ile ana oğul birbirimizin kolları arasına yığıldık .,bir_anlaşma
"ne olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur .","ne olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur .","ne_olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur .",ne_olacaksa
yoksa keten helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i̇stanbul'da ?,yoksa keten helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i̇stanbul'da ?,yoksa keten_helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i stanbul'da ?,keten_helvacıların
kıyak bir koşu atı .,kıyak bir koşu_atı .,kıyak bir_koşu atı .,bir_koşu
bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .,bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .,bir_delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .,bir_delikanlıyla
"bu seferler , bu at koşturmalar beyhude değil .","bu seferler , bu at koşturmalar beyhude değil .","bu_seferler , bu at koşturmalar beyhude değil .",bu_seferler
"onu , ondan kendine kattıklarıyla köklü bir değişime uğratmayı amaçlıyor .","onu , ondan kendine kattıklarıyla köklü bir değişime uğratmayı amaçlıyor .","onu , ondan kendine kattıklarıyla köklü bir_değişime uğratmayı amaçlıyor .",bir_değişime
"i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz karasıydılar .","i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz_karasıydılar .","i hsan bekleyen bu çanak_yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz_karasıydılar .",çanak_yalayıcı
"firuzağa'da şirin , kutu gibi , manzarası çok kral bir çatı katına taşındı .","firuzağa'da şirin , kutu gibi , manzarası çok kral bir çatı_katına taşındı .","firuzağa'da şirin , kutu_gibi , manzarası çok kral bir çatı_katına taşındı .",kutu_gibi
başına kenarları yeşil oyalı mor bir gaz boyaması krep bağlıyordu .,başına kenarları yeşil_oyalı mor bir gaz boyaması krep bağlıyordu .,başına kenarları yeşil_oyalı mor bir gaz_boyaması krep bağlıyordu .,gaz_boyaması
kuru bir anlatım .,kuru bir anlatım .,kuru bir_anlatım .,bir_anlatım
küçük hanımların bayram hediyesi zevklerinin bütün incelikleriyle uygun olacaktır .,küçük_hanımların bayram hediyesi zevklerinin bütün incelikleriyle uygun olacaktır .,küçük_hanımların bayram_hediyesi zevklerinin bütün incelikleriyle uygun olacaktır .,bayram_hediyesi
kız kardeşi nazime'yi yaşlı bir liman reisi istedi .,kız_kardeşi nazime'yi yaşlı bir liman reisi istedi .,kız_kardeşi nazime'yi yaşlı bir liman_reisi istedi .,liman_reisi
kim demiş onu diye arsız arsız sırıtmış ve lüks mevkiye doğru yürümüş .,kim demiş onu diye arsız arsız sırıtmış ve lüks_mevkiye doğru yürümüş .,kim demiş onu diye arsız_arsız sırıtmış ve lüks_mevkiye doğru yürümüş .,arsız_arsız
"odanın bir köşesinde , mahmurlaşmış gözleriyle bir annelerine , bir bana bakıyorlardı .","odanın bir köşesinde , mahmurlaşmış gözleriyle bir annelerine , bir bana_bakıyorlardı .","odanın bir köşesinde , mahmurlaşmış gözleriyle bir_annelerine , bir bana_bakıyorlardı .",bir_annelerine
"tarlasında , maktul bulunmuş bir çiftçiyi muayene etmiş , rapor vermiştim .","tarlasında , maktul bulunmuş bir çiftçiyi muayene etmiş , rapor vermiştim .","tarlasında , maktul bulunmuş bir_çiftçiyi muayene etmiş , rapor vermiştim .",bir_çiftçiyi
